Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
514,1,2024-10-22,BOS,,NYK,"W, 132-109",*,30:18,14,18,.778,8,11,.727,6,7,.857,1.000,1,2,.500,0,4,4,10,1,1,1,1,37,38.1,26,Jayson Tatum
515,2,2024-10-24,BOS,@,WAS,"W, 122-102",*,28:39,9,20,.450,3,11,.273,6,9,.667,.525,4,7,.571,2,9,11,6,1,0,1,1,25,21.3,14,Jayson Tatum
516,3,2024-10-26,BOS,@,DET,"W, 124-118",*,38:08,12,26,.462,6,13,.462,6,13,.462,.577,7,9,.778,1,3,4,2,2,1,1,5,37,25.5,1,Jayson Tatum
517,4,2024-10-28,BOS,,MIL,"W, 119-108",*,36:25,6,16,.375,1,8,.125,5,8,.625,.406,2,2,1.000,0,8,8,4,2,1,3,5,15,9.1,18,Jayson Tatum
518,5,2024-10-30,BOS,@,IND,"L, 132-135 (OT)",*,43:22,10,25,.400,5,18,.278,5,7,.714,.500,12,15,.800,1,7,8,4,4,0,3,3,37,27.7,-7,Jayson Tatum
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Jayson Tatum
519,6,2024-11-01,BOS,@,CHO,"W, 124-109",*,35:38,9,19,.474,3,9,.333,6,10,.600,.553,11,13,.846,1,10,11,3,3,1,5,1,32,25.6,16,Jayson Tatum
520,7,2024-11-02,BOS,@,CHO,"W, 113-103",*,33:44,7,15,.467,1,9,.111,6,6,1.000,.500,14,17,.824,0,7,7,3,0,0,5,3,29,18.1,4,Jayson Tatum
521,8,2024-11-04,BOS,@,ATL,"W, 123-93",*,30:29,10,21,.476,6,14,.429,4,7,.571,.619,2,3,.667,0,6,6,9,2,0,1,0,28,26.0,27,Jayson Tatum
522,9,2024-11-06,BOS,,GSW,"L, 112-118",*,36:45,10,20,.500,5,10,.500,5,10,.500,.625,7,9,.778,0,4,4,2,1,1,4,3,32,20.3,-5,Jayson Tatum
523,10,2024-11-08,BOS,,BRK,"W, 108-104 (OT)",*,42:21,11,25,.440,5,13,.385,6,12,.500,.540,6,7,.857,0,9,9,6,2,1,3,3,33,24.9,10,Jayson Tatum
524,11,2024-11-10,BOS,@,MIL,"W, 113-107",*,40:12,7,21,.333,4,12,.333,3,9,.333,.429,13,15,.867,0,12,12,6,0,0,5,3,31,19.9,9,Jayson Tatum
525,12,2024-11-12,BOS,,ATL,"L, 116-117",*,37:26,5,16,.313,2,9,.222,3,7,.429,.375,8,8,1.000,0,6,6,8,1,2,5,3,20,14.4,4,Jayson Tatum
526,13,2024-11-13,BOS,@,BRK,"W, 139-114",*,35:23,12,19,.632,5,6,.833,7,13,.538,.763,7,9,.778,1,8,9,10,0,0,1,3,36,34.6,24,Jayson Tatum
527,14,2024-11-16,BOS,,TOR,"W, 126-123 (OT)",*,41:39,7,19,.368,5,12,.417,2,7,.286,.500,5,5,1.000,0,11,11,9,0,0,2,3,24,19.9,1,Jayson Tatum
528,15,2024-11-19,BOS,,CLE,"W, 120-117",*,37:38,11,22,.500,6,10,.600,5,12,.417,.636,5,7,.714,0,12,12,7,2,0,4,3,33,26.5,2,Jayson Tatum
529,16,2024-11-22,BOS,@,WAS,"W, 108-96",*,37:14,6,19,.316,0,10,.000,6,9,.667,.316,4,6,.667,1,8,9,8,2,0,3,2,16,11.2,20,Jayson Tatum
530,17,2024-11-24,BOS,,MIN,"W, 107-105",*,38:25,8,21,.381,5,12,.417,3,9,.333,.500,5,6,.833,0,8,8,4,2,0,1,4,26,18.7,7,Jayson Tatum
531,18,2024-11-25,BOS,,LAC,"W, 126-94",*,30:26,7,15,.467,2,6,.333,5,9,.556,.533,4,6,.667,1,8,9,4,0,2,3,1,20,15.4,15,Jayson Tatum
532,19,2024-11-29,BOS,@,CHI,"W, 138-129",*,35:43,12,18,.667,4,8,.500,8,10,.800,.778,7,10,.700,1,13,14,5,1,1,3,0,35,32.8,13,Jayson Tatum
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Jayson Tatum
533,20,2024-12-01,BOS,@,CLE,"L, 111-115",*,37:48,12,27,.444,4,9,.444,8,18,.444,.519,5,5,1.000,0,8,8,4,1,1,2,2,33,23.0,1,Jayson Tatum
534,21,2024-12-02,BOS,,MIA,"W, 108-89",*,36:06,7,21,.333,3,12,.250,4,9,.444,.405,1,1,1.000,1,10,11,4,1,0,6,2,18,6.8,13,Jayson Tatum
,22,2024-12-04,BOS,,DET,"W, 130-120",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Jayson Tatum
535,23,2024-12-06,BOS,,MIL,"W, 111-105",*,37:03,12,20,.600,4,10,.400,8,10,.800,.700,6,8,.750,1,9,10,5,0,0,1,4,34,28.3,14,Jayson Tatum
536,24,2024-12-07,BOS,,MEM,"L, 121-127",*,37:44,6,21,.286,1,10,.100,5,11,.455,.310,4,5,.800,1,12,13,9,0,0,1,2,17,13.1,-3,Jayson Tatum
,25,2024-12-12,BOS,,DET,"W, 123-99",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Jayson Tatum
537,26,2024-12-15,BOS,@,WAS,"W, 112-98",*,34:53,12,26,.462,2,9,.222,10,17,.588,.500,2,2,1.000,1,11,12,2,0,0,4,4,28,14.4,4,Jayson Tatum
538,27,2024-12-19,BOS,,CHI,"L, 108-117",*,37:03,10,22,.455,4,11,.364,6,11,.545,.545,7,9,.778,0,10,10,4,2,0,1,4,31,24.0,0,Jayson Tatum
539,28,2024-12-21,BOS,@,CHI,"W, 123-98",*,35:31,16,24,.667,9,15,.600,7,9,.778,.854,2,2,1.000,1,14,15,10,0,0,4,2,43,39.7,13,Jayson Tatum
,29,2024-12-23,BOS,@,ORL,"L, 104-108",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Jayson Tatum
