Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
75,1,2024-10-23,CHO,@,HOU,"W, 110-105",*,10:44,2,4,.500,1,2,.500,1,2,.500,.625,1,1,1.000,1,0,1,1,1,0,1,0,6,5.4,-6,Brandon Miller
,2,2024-10-25,CHO,@,ATL,"L, 120-125",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,3,2024-10-26,CHO,,MIA,"L, 106-114",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,4,2024-10-30,CHO,,TOR,"W, 138-133",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Brandon Miller
,5,2024-11-01,CHO,,BOS,"L, 109-124",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
76,6,2024-11-02,CHO,,BOS,"L, 103-113",*,31:21,6,18,.333,3,9,.333,3,9,.333,.417,1,2,.500,0,4,4,6,2,1,0,4,16,11.9,-10,Brandon Miller
77,7,2024-11-04,CHO,@,MIN,"L, 93-114",*,21:10,3,10,.300,2,7,.286,1,3,.333,.400,2,2,1.000,0,2,2,1,0,1,1,2,10,4.4,-9,Brandon Miller
78,8,2024-11-06,CHO,,DET,"W, 108-107",*,28:32,6,16,.375,3,11,.273,3,5,.600,.469,4,4,1.000,2,4,6,4,0,0,3,2,19,11.8,1,Brandon Miller
79,9,2024-11-08,CHO,,IND,"W, 103-83",*,33:25,10,17,.588,7,11,.636,3,6,.500,.794,2,2,1.000,0,6,6,6,1,1,1,1,29,27.4,26,Brandon Miller
80,10,2024-11-10,CHO,@,PHI,"L, 105-107 (OT)",*,40:37,7,16,.438,3,11,.273,4,5,.800,.531,5,5,1.000,1,6,7,2,2,1,3,3,22,16.0,3,Brandon Miller
