Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Brandon Miller,22,SF,27,27,34.2,7.3,18.2,.403,3.9,10.9,.355,3.5,7.3,.475,.509,2.5,2.9,.861,0.9,3.9,4.9,3.6,1.1,0.7,2.8,2.7,21.0
LaMelo Ball,23,PG,47,47,32.0,8.6,21.3,.405,3.8,11.2,.339,4.8,10.1,.478,.494,4.1,4.9,.843,1.0,3.9,4.9,7.4,1.1,0.3,3.6,3.3,25.2
Miles Bridges,26,PF,64,64,31.7,7.3,17.0,.431,2.2,7.0,.313,5.1,10.0,.513,.495,3.5,4.0,.870,1.1,6.4,7.5,3.9,0.7,0.7,2.1,1.5,20.3
Grant Williams,26,PF,16,7,29.9,3.4,7.7,.439,1.7,4.6,.365,1.7,3.1,.551,.549,1.9,2.3,.838,1.1,4.0,5.1,2.3,1.1,0.8,1.8,2.9,10.4
Josh Green,24,SG,68,67,27.8,2.6,6.2,.428,1.4,3.6,.391,1.2,2.5,.480,.543,0.7,1.1,.681,0.8,1.7,2.5,1.6,1.1,0.2,1.0,2.4,7.4
Mark Williams,23,C,44,41,26.6,6.1,10.2,.604,0.0,0.1,.000,6.1,10.1,.609,.604,3.0,3.7,.804,3.0,7.2,10.2,2.5,0.7,1.2,1.6,2.4,15.3
Cody Martin,29,SF,39,8,24.8,3.0,6.9,.433,1.0,3.2,.323,1.9,3.7,.528,.507,0.9,1.3,.694,1.0,3.5,4.5,2.3,1.1,0.7,1.1,1.8,7.8
Damion Baugh,24,SG,15,2,24.7,2.8,8.7,.323,0.8,3.7,.214,2.0,4.9,.405,.369,0.9,1.0,.867,0.9,2.4,3.3,3.7,1.0,0.1,2.1,1.5,7.3
Tre Mann,23,PG,13,0,24.5,5.4,12.4,.435,1.8,4.6,.400,3.5,7.8,.455,.509,1.5,1.6,.905,0.9,2.0,2.9,3.0,0.5,0.3,1.9,1.8,14.1
KJ Simpson,22,PG,36,15,23.4,2.9,8.4,.346,0.9,3.6,.254,2.0,4.8,.415,.400,1.1,1.4,.820,1.1,1.9,3.0,3.1,0.9,0.2,1.6,1.6,7.8
DaQuan Jeffries,27,SG,47,20,22.8,2.5,6.2,.405,1.2,3.5,.335,1.3,2.7,.496,.500,0.5,0.6,.800,0.8,2.1,2.9,1.1,0.6,0.5,0.7,2.1,6.7
Nick Smith Jr.,20,SG,60,27,22.8,3.7,9.5,.391,1.7,5.1,.340,2.0,4.4,.450,.482,0.7,0.8,.935,0.2,1.9,2.1,2.4,0.3,0.1,1.4,1.3,9.9
Vasilije MiciÄ,31,PG,36,16,21.2,2.6,7.6,.348,1.3,3.5,.360,1.4,4.1,.338,.430,0.9,1.1,.829,0.6,1.9,2.4,3.5,0.4,0.0,2.1,1.2,7.5
Nick Richards,27,C,21,9,21.0,3.0,5.4,.561,0.0,0.0,.000,3.0,5.4,.566,.561,2.8,4.1,.678,2.4,5.1,7.5,1.3,0.3,1.2,1.6,2.3,8.9
Tidjane SalaÃ¼n,19,PF,60,10,20.7,1.9,5.8,.330,1.0,3.4,.283,0.9,2.3,.400,.414,1.1,1.6,.713,1.2,3.5,4.7,1.2,0.5,0.2,1.0,1.4,5.9
Elfrid Payton,30,PG,6,2,20.5,0.5,3.5,.143,0.0,0.0,,0.5,3.5,.143,.143,0.0,0.0,,0.2,2.0,2.2,3.3,1.0,0.5,1.2,2.0,1.0
Marcus Garrett,26,SG,4,0,19.8,2.8,6.8,.407,0.8,2.0,.375,2.0,4.8,.421,.463,0.8,1.0,.750,0.3,1.3,1.5,3.3,0.8,0.5,1.5,2.5,7.0
Jaylen Sims,26,SG,6,0,18.7,2.0,4.7,.429,1.0,2.5,.400,1.0,2.2,.462,.536,2.0,2.5,.800,0.5,0.5,1.0,2.0,0.5,0.2,1.3,1.7,7.0
Josh Okogie,26,SG,15,6,18.3,2.5,6.5,.388,1.1,3.3,.320,1.5,3.2,.458,.469,2.7,3.5,.774,0.9,1.9,2.7,1.3,1.8,0.5,1.0,1.3,8.9
Jusuf NurkiÄ,30,C,26,9,18.1,3.6,7.3,.497,0.5,1.8,.283,3.1,5.5,.566,.532,1.4,2.3,.627,1.5,5.0,6.5,2.6,0.7,0.7,1.5,2.0,9.2
Wendell Moore Jr.,23,SG,16,0,17.5,2.3,4.8,.474,0.6,1.7,.370,1.6,3.1,.531,.539,0.3,0.5,.625,1.2,2.0,3.2,1.2,0.6,0.1,1.1,1.0,5.4
Moussa DiabatÃ©,23,C,71,8,17.5,2.4,3.9,.596,0.0,0.1,.000,2.4,3.9,.609,.596,1.0,1.6,.595,2.6,3.5,6.2,0.8,0.6,0.6,0.9,1.5,5.7
Seth Curry,34,SG,68,14,15.6,2.4,5.0,.478,1.2,2.7,.456,1.2,2.4,.503,.599,0.5,0.6,.846,0.4,1.3,1.7,0.9,0.4,0.1,0.5,0.9,6.5
Isaiah Wong,24,SG,20,0,13.3,2.1,5.3,.390,0.7,1.7,.394,1.4,3.6,.389,.452,1.3,1.7,.735,0.7,0.9,1.6,1.4,0.6,0.0,0.9,1.1,6.0
Taj Gibson,39,C,37,11,11.1,1.3,2.6,.495,0.0,0.1,.500,1.2,2.5,.495,.500,0.3,0.5,.600,1.4,1.9,3.2,0.6,0.2,0.5,0.7,1.5,2.9
Malachi Flynn,26,PG,4,0,11.0,1.3,3.3,.385,0.3,1.0,.250,1.0,2.3,.444,.423,1.3,1.5,.833,0.8,1.0,1.8,1.8,0.8,0.0,1.0,1.0,4.0
Jared Rhoden,25,SG,4,0,3.0,0.5,2.0,.250,0.0,0.5,.000,0.5,1.5,.333,.250,0.0,0.0,,0.5,0.5,1.0,0.5,0.3,0.0,0.3,0.3,1.0
