Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
730,1,2024-10-24,DAL,,SAS,"W, 120-109",*,27:24,6,17,.353,3,7,.429,3,10,.300,.441,0,0,,1,2,3,2,2,1,0,1,15,10.5,15,Kyrie Irving
731,2,2024-10-26,DAL,@,PHO,"L, 102-114",*,38:41,9,22,.409,2,5,.400,7,17,.412,.455,2,2,1.000,0,2,2,5,3,0,1,4,22,14.7,-13,Kyrie Irving
732,3,2024-10-28,DAL,,UTA,"W, 110-102",*,35:41,8,14,.571,3,6,.500,5,8,.625,.679,4,4,1.000,2,4,6,9,1,1,4,2,23,22.2,13,Kyrie Irving
733,4,2024-10-29,DAL,@,MIN,"W, 120-114",*,39:27,13,23,.565,6,8,.750,7,15,.467,.696,3,5,.600,2,2,4,5,1,0,1,3,35,27.6,4,Kyrie Irving
734,5,2024-10-31,DAL,,HOU,"L, 102-108",*,42:50,10,20,.500,5,6,.833,5,14,.357,.625,3,3,1.000,4,4,8,7,0,0,3,2,28,23.1,-3,Kyrie Irving
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Kyrie Irving
735,6,2024-11-03,DAL,,ORL,"W, 108-85",*,28:26,5,11,.455,1,2,.500,4,9,.444,.500,6,7,.857,0,2,2,3,2,0,1,2,17,13.8,17,Kyrie Irving
736,7,2024-11-04,DAL,,IND,"L, 127-134",*,39:37,11,21,.524,3,7,.429,8,14,.571,.595,2,2,1.000,2,3,5,4,0,0,2,3,27,18.6,-11,Kyrie Irving
737,8,2024-11-06,DAL,,CHI,"W, 119-99",*,27:42,7,11,.636,1,3,.333,6,8,.750,.682,2,2,1.000,0,6,6,2,3,0,1,0,17,17.3,9,Kyrie Irving
738,9,2024-11-08,DAL,,PHO,"L, 113-114",*,40:46,10,17,.588,2,6,.333,8,11,.727,.647,7,9,.778,2,5,7,6,3,0,2,1,29,28.0,9,Kyrie Irving
739,10,2024-11-10,DAL,@,DEN,"L, 120-122",*,35:07,17,22,.773,6,8,.750,11,14,.786,.909,3,3,1.000,0,5,5,5,1,1,1,1,43,39.7,-6,Kyrie Irving
740,11,2024-11-12,DAL,@,GSW,"L, 117-120",*,35:59,8,13,.615,1,3,.333,7,10,.700,.654,4,5,.800,0,3,3,6,0,0,5,4,21,13.2,-13,Kyrie Irving
,12,2024-11-14,DAL,@,UTA,"L, 113-115",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Kyrie Irving
741,13,2024-11-16,DAL,,SAS,"W, 110-93",*,28:25,9,15,.600,2,6,.333,7,9,.778,.667,2,3,.667,1,7,8,6,2,0,3,2,22,19.9,22,Kyrie Irving
742,14,2024-11-17,DAL,@,OKC,"W, 121-119",*,36:04,9,18,.500,3,6,.500,6,12,.500,.583,2,2,1.000,1,0,1,6,0,0,1,2,23,17.1,-4,Kyrie Irving
743,15,2024-11-19,DAL,,NOP,"W, 132-91",*,27:18,6,11,.545,4,5,.800,2,6,.333,.727,2,2,1.000,1,0,1,7,0,0,1,1,18,16.9,28,Kyrie Irving
744,16,2024-11-22,DAL,@,DEN,"W, 123-120",*,38:06,7,19,.368,1,6,.167,6,13,.462,.395,4,4,1.000,1,5,6,6,1,1,3,3,19,12.4,6,Kyrie Irving
745,17,2024-11-24,DAL,@,MIA,"L, 118-123 (OT)",*,39:19,9,21,.429,3,12,.250,6,9,.667,.500,6,7,.857,0,4,4,6,0,0,3,4,27,16.3,5,Kyrie Irving
746,18,2024-11-25,DAL,@,ATL,"W, 129-119",*,41:29,11,28,.393,6,13,.462,5,15,.333,.500,4,4,1.000,2,5,7,6,0,0,3,3,32,19.7,3,Kyrie Irving
747,19,2024-11-27,DAL,,NYK,"W, 129-114",*,34:58,10,21,.476,3,9,.333,7,12,.583,.548,0,0,,1,6,7,6,0,0,1,4,23,16.4,5,Kyrie Irving
