Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kyrie Irving,32,SG,50,50,36.1,8.9,18.9,.473,2.9,7.2,.401,6.1,11.7,.517,.549,3.9,4.3,.916,1.2,3.6,4.8,4.6,1.3,0.5,2.2,2.0,24.7
Luka DonÄiÄ,25,PG,22,22,35.7,9.8,21.2,.464,3.4,9.6,.354,6.4,11.5,.555,.544,5.1,6.6,.767,0.7,7.6,8.3,7.8,2.0,0.4,3.4,2.6,28.1
P.J. Washington,26,PF,57,56,32.2,5.3,11.7,.453,1.6,4.2,.381,3.7,7.5,.493,.521,2.5,3.5,.722,1.4,6.3,7.8,2.3,1.1,1.1,2.1,2.3,14.7
Max Christie,21,SG,32,11,30.4,3.9,9.4,.411,1.7,4.7,.364,2.2,4.7,.457,.502,1.8,2.0,.862,0.4,3.8,4.2,2.5,0.9,0.3,1.5,1.3,11.2
Anthony Davis,31,PF,9,9,29.6,7.8,16.9,.461,0.8,3.3,.233,7.0,13.6,.516,.484,3.7,5.3,.688,1.7,8.4,10.1,4.4,0.6,2.2,2.2,1.8,20.0
Naji Marshall,27,SF,69,31,27.8,5.2,10.3,.508,0.9,3.2,.275,4.4,7.2,.611,.551,1.9,2.3,.813,1.1,3.7,4.8,3.0,1.0,0.2,1.6,1.6,13.2
Klay Thompson,34,SF,72,72,27.3,5.0,12.2,.412,3.0,7.7,.391,2.0,4.5,.448,.535,0.9,1.0,.905,0.6,2.8,3.4,2.0,0.7,0.4,1.2,1.1,14.0
Spencer Dinwiddie,31,PG,79,30,27.0,3.6,8.6,.416,1.4,4.1,.334,2.2,4.5,.492,.496,2.5,3.1,.802,0.2,2.4,2.6,4.4,0.9,0.2,1.3,1.5,11.0
Dereck Lively II,20,C,36,29,23.1,3.7,5.3,.702,0.0,0.0,,3.7,5.3,.702,.702,1.3,2.0,.630,2.9,4.6,7.5,2.4,0.6,1.6,1.1,2.8,8.7
Quentin Grimes,24,SG,47,12,22.8,3.6,7.8,.463,1.7,4.3,.398,1.9,3.5,.543,.573,1.3,1.7,.765,0.6,3.2,3.8,2.1,0.7,0.2,1.3,1.7,10.2
Kai Jones,24,C,12,6,21.7,5.1,6.1,.836,0.1,0.3,.333,5.0,5.8,.857,.842,1.2,1.7,.700,2.1,4.5,6.6,1.3,0.8,0.8,0.7,2.3,11.4
Daniel Gafford,26,C,57,31,21.5,5.0,7.1,.702,0.0,0.0,,5.0,7.1,.702,.702,2.4,3.4,.689,2.7,4.1,6.8,1.4,0.4,1.8,1.2,2.7,12.3
Caleb Martin,29,SF,14,0,19.6,2.0,5.1,.389,0.3,1.1,.250,1.7,4.0,.429,.417,1.1,1.7,.625,0.7,2.2,2.9,1.9,0.9,0.2,0.9,1.7,5.4
Maxi Kleber,33,PF,34,4,18.7,1.1,2.8,.385,0.4,1.4,.265,0.7,1.4,.511,.453,0.5,0.6,.762,0.7,2.1,2.8,1.3,0.3,0.5,0.7,1.9,3.0
Dante Exum,29,PG,20,13,18.6,3.2,6.7,.478,1.2,2.7,.434,2.1,4.1,.506,.563,1.2,1.6,.742,0.2,1.5,1.7,2.8,0.6,0.2,1.1,1.7,8.7
Moses Brown,25,C,4,2,18.3,5.3,7.3,.724,0.0,0.0,,5.3,7.3,.724,.724,1.3,1.5,.833,2.0,5.8,7.8,0.5,1.0,0.8,1.3,2.8,11.8
Jaden Hardy,22,SG,57,3,15.9,3.2,7.3,.435,1.3,3.5,.386,1.8,3.8,.479,.527,1.1,1.5,.698,0.2,1.4,1.6,1.4,0.5,0.1,1.4,1.6,8.7
Kessler Edwards,24,SF,40,18,15.2,1.7,3.4,.496,0.6,1.4,.407,1.1,2.0,.556,.578,0.3,0.3,.923,0.6,2.3,2.9,1.1,0.5,0.5,0.4,1.6,4.2
Brandon Williams,25,PG,33,3,14.8,3.0,5.7,.521,0.7,1.8,.400,2.2,3.9,.578,.585,1.7,2.0,.833,0.4,1.4,1.8,2.3,0.7,0.2,1.2,1.0,8.3
Olivier-Maxence Prosper,22,PF,52,4,11.2,1.3,3.3,.402,0.2,1.0,.235,1.1,2.4,.472,.437,0.9,1.5,.645,0.8,1.6,2.4,0.8,0.5,0.1,0.3,0.5,3.9
Dwight Powell,33,C,55,3,10.0,0.8,1.1,.689,0.0,0.1,.400,0.7,1.0,.714,.705,0.5,0.8,.651,0.9,1.3,2.1,1.0,0.3,0.4,0.3,1.4,2.1
Kylor Kelley,27,C,8,1,8.4,1.3,1.6,.769,0.0,0.0,,1.3,1.6,.769,.769,0.5,0.8,.667,1.0,1.6,2.6,0.3,0.0,0.3,0.1,1.0,3.0
Markieff Morris,35,PF,7,0,5.9,0.7,3.1,.227,0.3,1.9,.154,0.4,1.3,.333,.273,0.0,0.0,,0.0,1.1,1.1,0.6,0.1,0.1,0.3,0.3,1.7
Jazian Gortman,21,PG,16,0,3.6,0.6,1.4,.391,0.3,0.7,.364,0.3,0.8,.417,.478,0.1,0.3,.500,0.1,0.3,0.3,0.4,0.1,0.1,0.3,0.6,1.5
