Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
815,1,2024-10-23,MIA,,ORL,"L, 97-116",*,25:49,1,8,.125,0,2,.000,1,6,.167,.125,1,2,.500,1,3,4,5,1,1,1,1,3,2.8,-30,Jimmy Butler
816,2,2024-10-26,MIA,@,CHO,"W, 114-106",*,36:54,7,15,.467,1,3,.333,6,12,.500,.500,11,17,.647,4,4,8,8,2,1,1,2,26,26.4,-4,Jimmy Butler
817,3,2024-10-28,MIA,,DET,"W, 106-98",*,33:44,7,11,.636,0,1,.000,7,10,.700,.636,9,11,.818,3,1,4,7,4,0,0,2,23,27.8,8,Jimmy Butler
818,4,2024-10-30,MIA,,NYK,"L, 107-116",*,37:24,6,9,.667,0,2,.000,6,7,.857,.667,3,4,.750,2,2,4,4,2,0,4,3,15,12.3,-10,Jimmy Butler
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Jimmy Butler
819,5,2024-11-02,MIA,@,WAS,"W, 118-98",*,30:41,6,13,.462,0,0,,6,13,.462,.462,6,8,.750,6,2,8,4,0,0,4,2,18,13.3,4,Jimmy Butler
820,6,2024-11-04,MIA,,SAC,"L, 110-111",*,35:54,9,19,.474,1,2,.500,8,17,.471,.500,8,11,.727,1,1,2,6,2,0,1,1,27,21.9,11,Jimmy Butler
821,7,2024-11-06,MIA,@,PHO,"L, 112-115",*,36:55,6,13,.462,0,2,.000,6,11,.545,.462,3,3,1.000,3,4,7,3,1,0,2,1,15,12.3,-3,Jimmy Butler
822,8,2024-11-08,MIA,@,DEN,"L, 122-135",*,06:44,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,1,0,1,2,0,0,1,0,2,2.1,-10,Jimmy Butler
,9,2024-11-10,MIA,@,MIN,"W, 95-94",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Butler
,10,2024-11-12,MIA,@,DET,"L, 121-123 (OT)",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Butler
,11,2024-11-15,MIA,@,IND,"W, 124-111",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Butler
,12,2024-11-17,MIA,@,IND,"L, 110-119",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Butler
823,13,2024-11-18,MIA,,PHI,"W, 106-89",*,33:40,8,12,.667,1,1,1.000,7,11,.636,.708,13,13,1.000,5,5,10,5,1,0,0,2,30,33.5,29,Jimmy Butler
824,14,2024-11-24,MIA,,DAL,"W, 123-118 (OT)",*,38:05,11,17,.647,0,0,,11,17,.647,.647,11,16,.688,3,6,9,6,1,2,3,1,33,30.6,4,Jimmy Butler
825,15,2024-11-26,MIA,,MIL,"L, 103-106",*,36:58,6,12,.500,0,1,.000,6,11,.545,.500,11,13,.846,2,2,4,5,0,0,1,1,23,20.3,-1,Jimmy Butler
826,16,2024-11-27,MIA,@,CHO,"W, 98-94",*,25:01,2,2,1.000,2,2,1.000,0,0,,1.500,0,0,,0,4,4,3,0,0,2,0,6,6.7,14,Jimmy Butler
827,17,2024-11-29,MIA,,TOR,"W, 121-111",*,34:15,8,14,.571,2,4,.500,6,10,.600,.643,8,9,.889,0,2,2,6,2,0,0,1,26,25.4,13,Jimmy Butler
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Jimmy Butler
828,18,2024-12-01,MIA,@,TOR,"L, 116-119",*,34:25,6,9,.667,0,0,,6,9,.667,.667,5,6,.833,2,3,5,3,1,0,0,1,17,17.7,-9,Jimmy Butler
,19,2024-12-02,MIA,@,BOS,"L, 89-108",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Butler
829,20,2024-12-04,MIA,,LAL,"W, 134-93",*,29:21,8,12,.667,1,1,1.000,7,11,.636,.708,0,1,.000,5,4,9,5,2,1,1,1,17,20.9,26,Jimmy Butler
830,21,2024-12-07,MIA,,PHO,"W, 121-111",*,34:28,9,12,.750,1,1,1.000,8,11,.727,.792,5,5,1.000,2,5,7,4,0,1,1,1,24,24.2,11,Jimmy Butler
831,22,2024-12-08,MIA,,CLE,"W, 122-113",*,35:16,6,12,.500,0,2,.000,6,10,.600,.500,6,8,.750,1,2,3,5,2,0,1,0,18,17.0,10,Jimmy Butler
832,23,2024-12-12,MIA,,TOR,"W, 114-104",*,29:26,3,8,.375,0,0,,3,8,.375,.375,5,8,.625,3,2,5,4,0,1,3,0,11,8.6,16,Jimmy Butler
833,24,2024-12-16,MIA,@,DET,"L, 124-125 (OT)",*,44:20,12,21,.571,1,3,.333,11,18,.611,.595,10,12,.833,7,12,19,10,4,1,0,0,35,44.5,11,Jimmy Butler
834,25,2024-12-20,MIA,,OKC,"L, 97-104",*,07:19,0,0,,0,0,,0,0,,,0,0,,0,0,0,2,0,0,0,0,0,1.4,-3,Jimmy Butler
,26,2024-12-21,MIA,@,ORL,"L, 114-121",Not With Team,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Butler
,27,2024-12-23,MIA,,BRK,"W, 110-95",Not With Team,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Butler
,28,2024-12-26,MIA,@,ORL,"W, 89-88",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Butler
,29,2024-12-28,MIA,@,ATL,"L, 110-120",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Butler
,30,2024-12-29,MIA,@,HOU,"W, 104-100",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Butler
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Jimmy Butler
835,31,2025-01-01,MIA,,NOP,"W, 119-108",*,24:44,3,5,.600,1,2,.500,2,3,.667,.700,2,2,1.000,0,4,4,2,0,0,0,1,9,8.9,9,Jimmy Butler
836,32,2025-01-02,MIA,,IND,"L, 115-128",*,26:31,3,6,.500,1,2,.500,2,4,.500,.583,2,2,1.000,0,2,2,4,2,0,1,0,9,10.4,-27,Jimmy Butler
,33,2025-01-04,MIA,,UTA,"L, 100-136",Not With Team,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Butler
,34,2025-01-06,MIA,@,SAC,"L, 118-123 (2OT)",Not With Team,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Butler
,35,2025-01-07,MIA,@,GSW,"W, 114-98",Not With Team,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Butler
,36,2025-01-09,MIA,@,UTA,"W, 97-92",Not With Team,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Butler
,37,2025-01-11,MIA,@,POR,"W, 119-98",Not With Team,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Butler
,38,2025-01-13,MIA,@,LAC,"L, 98-109",Not With Team,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Butler
,39,2025-01-15,MIA,@,LAL,"L, 108-117",Not With Team,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Butler
837,40,2025-01-17,MIA,,DEN,"L, 113-133",*,33:15,7,15,.467,0,2,.000,7,13,.538,.467,4,4,1.000,2,1,3,2,0,0,1,0,18,12.4,-11,Jimmy Butler
838,41,2025-01-19,MIA,,SAS,"W, 128-107",*,27:47,3,7,.429,0,1,.000,3,6,.500,.429,2,2,1.000,0,3,3,7,0,2,0,2,8,10.7,19,Jimmy Butler
839,42,2025-01-21,MIA,,POR,"L, 107-116",*,26:56,4,9,.444,1,1,1.000,3,8,.375,.500,4,4,1.000,2,2,4,8,0,0,2,0,13,13.9,-19,Jimmy Butler
,43,2025-01-23,MIA,@,MIL,"L, 96-125",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Butler
,44,2025-01-25,MIA,@,BRK,"W, 106-97",Not With Team,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Butler
,45,2025-01-27,MIA,,ORL,"W, 125-119 (2OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Butler
,46,2025-01-29,MIA,,CLE,"L, 106-126",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Butler
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Jimmy Butler
,47,2025-02-01,MIA,@,SAS,"W, 105-103",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Butler
,48,2025-02-04,MIA,@,CHI,"L, 124-133",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Butler
,49,2025-02-05,MIA,@,PHI,"W, 108-101",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Butler
840,52,2025-02-08,GSW,@,CHI,"W, 132-111",*,28:40,7,12,.583,0,1,.000,7,11,.636,.583,11,13,.846,1,1,2,4,1,1,1,1,25,22.7,16,Jimmy Butler
841,53,2025-02-10,GSW,@,MIL,"W, 125-111",*,31:23,4,12,.333,0,2,.000,4,10,.400,.333,12,15,.800,6,3,9,6,4,0,1,4,20,22.7,0,Jimmy Butler
