Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
261,1,2024-10-23,IND,@,DET,"W, 115-109",*,34:58,6,18,.333,1,9,.111,5,9,.556,.361,2,2,1.000,1,4,5,4,3,2,3,2,15,10.1,15,Tyrese Haliburton
262,2,2024-10-25,IND,@,NYK,"L, 98-123",*,25:51,0,8,.000,0,7,.000,0,1,.000,.000,0,0,,0,1,1,5,1,0,1,2,0,-2.6,-23,Tyrese Haliburton
263,3,2024-10-27,IND,,PHI,"L, 114-118 (OT)",*,37:18,8,18,.444,4,9,.444,4,9,.444,.556,2,5,.400,1,3,4,2,0,1,3,2,22,11.3,-9,Tyrese Haliburton
264,4,2024-10-28,IND,@,ORL,"L, 115-119",*,35:04,6,15,.400,4,9,.444,2,6,.333,.533,3,4,.750,3,6,9,10,1,0,1,1,19,21.0,3,Tyrese Haliburton
265,5,2024-10-30,IND,,BOS,"W, 135-132 (OT)",*,39:49,7,19,.368,2,10,.200,5,9,.556,.421,1,1,1.000,0,6,6,12,2,0,1,5,17,15.7,9,Tyrese Haliburton
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Tyrese Haliburton
266,6,2024-11-01,IND,@,NOP,"L, 118-125",*,33:24,2,8,.250,1,6,.167,1,2,.500,.313,6,6,1.000,1,1,2,11,0,0,2,2,11,12.1,-19,Tyrese Haliburton
267,7,2024-11-04,IND,@,DAL,"W, 134-127",*,35:32,10,16,.625,2,8,.250,8,8,1.000,.688,3,6,.500,0,4,4,12,2,1,2,1,25,26.5,9,Tyrese Haliburton
268,8,2024-11-06,IND,,ORL,"W, 118-111",*,36:39,6,11,.545,3,5,.600,3,6,.500,.682,2,2,1.000,0,3,3,4,1,0,1,4,17,13.8,6,Tyrese Haliburton
269,9,2024-11-08,IND,@,CHO,"L, 83-103",*,34:14,2,11,.182,0,4,.000,2,7,.286,.182,2,2,1.000,1,6,7,9,1,1,2,1,6,7.2,-21,Tyrese Haliburton
270,10,2024-11-10,IND,,NYK,"W, 132-121",*,35:11,11,18,.611,4,10,.400,7,8,.875,.722,9,11,.818,0,2,2,14,2,0,2,1,35,36.0,12,Tyrese Haliburton
271,11,2024-11-13,IND,@,ORL,"L, 90-94",*,39:34,3,14,.214,2,8,.250,1,6,.167,.286,1,1,1.000,0,1,1,11,0,0,4,1,9,4.0,5,Tyrese Haliburton
272,12,2024-11-15,IND,,MIA,"L, 111-124",*,28:39,7,14,.500,4,9,.444,3,5,.600,.643,0,0,,1,1,2,8,1,0,1,1,18,17.2,-25,Tyrese Haliburton
273,13,2024-11-17,IND,,MIA,"W, 119-110",*,37:40,4,13,.308,3,8,.375,1,5,.200,.423,5,5,1.000,1,2,3,13,0,2,0,2,16,19.5,19,Tyrese Haliburton
274,14,2024-11-18,IND,@,TOR,"L, 119-130",*,38:49,5,18,.278,2,9,.222,3,9,.333,.333,4,4,1.000,2,1,3,4,5,2,1,4,16,13.7,-15,Tyrese Haliburton
275,15,2024-11-20,IND,@,HOU,"L, 113-130",*,30:01,1,7,.143,1,5,.200,0,2,.000,.214,1,1,1.000,0,1,1,8,0,1,2,1,4,3.7,-28,Tyrese Haliburton
276,16,2024-11-22,IND,@,MIL,"L, 117-129",*,33:54,6,14,.429,4,10,.400,2,4,.500,.571,2,2,1.000,0,1,1,9,0,0,1,0,18,16.2,-18,Tyrese Haliburton
277,17,2024-11-24,IND,,WAS,"W, 115-103",*,34:17,7,18,.389,5,11,.455,2,7,.286,.528,2,2,1.000,3,1,4,9,2,0,3,3,21,17.7,12,Tyrese Haliburton
278,18,2024-11-25,IND,,NOP,"W, 114-110",*,35:34,12,23,.522,9,18,.500,3,5,.600,.717,1,1,1.000,0,3,3,13,3,0,2,1,34,33.3,16,Tyrese Haliburton
279,19,2024-11-27,IND,,POR,"W, 121-114",*,38:51,8,15,.533,5,10,.500,3,5,.600,.700,7,7,1.000,2,5,7,10,2,0,3,2,28,28.8,17,Tyrese Haliburton
280,20,2024-11-29,IND,,DET,"L, 106-130",*,29:52,8,13,.615,3,8,.375,5,5,1.000,.731,0,0,,0,1,1,5,0,0,2,0,19,14.9,-23,Tyrese Haliburton
