Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tyrese Haliburton,24,PG,73,73,33.6,6.5,13.8,.473,3.0,7.7,.388,3.5,6.1,.581,.582,2.6,3.0,.851,0.6,3.0,3.5,9.2,1.4,0.7,1.6,1.3,18.6
Pascal Siakam,30,PF,78,78,32.7,7.9,15.2,.519,1.6,4.2,.389,6.2,11.0,.568,.572,2.9,3.9,.734,1.7,5.2,6.9,3.4,0.9,0.5,1.4,2.4,20.2
Myles Turner,28,C,72,72,30.2,5.4,11.3,.481,2.2,5.5,.396,3.3,5.8,.561,.577,2.6,3.3,.773,1.3,5.3,6.5,1.5,0.8,2.0,1.7,2.5,15.6
Bennedict Mathurin,22,SF,72,49,29.8,5.4,11.8,.458,1.4,4.0,.340,4.1,7.8,.519,.516,3.8,4.6,.831,1.2,4.1,5.3,1.9,0.7,0.3,1.9,2.3,16.1
Andrew Nembhard,25,SG,65,65,28.9,3.8,8.3,.458,0.8,2.7,.291,3.0,5.6,.538,.506,1.7,2.1,.794,0.5,2.8,3.3,5.0,1.2,0.2,1.7,2.3,10.0
Aaron Nesmith,25,SF,45,37,25.0,4.3,8.4,.507,1.9,4.3,.431,2.4,4.1,.587,.617,1.6,1.8,.913,0.8,3.1,4.0,1.2,0.8,0.4,0.8,2.5,12.0
Obi Toppin,26,PF,79,4,19.6,4.0,7.6,.529,1.4,3.8,.365,2.6,3.8,.695,.621,1.1,1.4,.781,0.7,3.3,4.0,1.6,0.6,0.4,0.9,1.4,10.5
Ben Sheppard,23,SG,63,9,19.5,1.9,4.6,.418,1.1,3.2,.342,0.8,1.4,.591,.537,0.4,0.4,.889,0.7,2.1,2.8,1.3,0.6,0.2,0.3,2.0,5.3
T.J. McConnell,32,PG,79,1,17.9,4.1,7.9,.519,0.2,0.6,.306,3.9,7.3,.537,.531,0.7,1.0,.740,0.6,1.9,2.4,4.4,1.1,0.3,1.4,1.0,9.1
Isaiah Jackson,23,C,5,1,16.8,2.8,4.6,.609,0.0,0.0,,2.8,4.6,.609,.609,1.4,2.8,.500,2.2,3.4,5.6,1.0,0.6,1.6,1.0,2.8,7.0
Jarace Walker,21,PF,75,5,15.8,2.3,4.8,.472,1.0,2.5,.405,1.3,2.3,.543,.576,0.6,0.9,.667,0.3,2.7,3.1,1.5,0.7,0.3,1.0,1.5,6.1
Thomas Bryant,27,C,56,8,15.1,2.7,5.2,.515,0.8,2.3,.321,1.9,2.9,.673,.587,0.8,0.9,.830,1.4,2.5,3.9,0.9,0.5,0.6,0.5,1.2,6.9
Quenton Jackson,26,PG,28,7,13.6,2.1,4.4,.475,0.5,1.4,.375,1.5,2.9,.524,.537,1.1,1.4,.775,0.5,1.1,1.6,1.9,0.8,0.2,0.6,1.5,5.8
Enrique Freeman,24,PF,22,1,8.2,0.7,1.7,.432,0.0,0.5,.100,0.7,1.2,.556,.446,0.6,0.9,.684,0.5,0.9,1.4,0.4,0.1,0.1,0.3,1.0,2.1
Tony Bradley,27,C,14,0,8.1,2.1,3.2,.644,0.1,0.2,.333,2.0,3.0,.667,.656,0.1,0.4,.333,1.3,1.7,3.0,0.4,0.1,0.6,0.4,0.8,4.4
Johnny Furphy,20,SG,50,0,7.6,0.7,1.8,.380,0.3,1.0,.300,0.4,0.8,.476,.462,0.4,0.4,.818,0.5,1.0,1.4,0.4,0.4,0.2,0.2,0.8,2.1
RayJ Dennis,23,PG,11,0,6.4,1.0,3.0,.333,0.5,1.9,.286,0.5,1.1,.417,.424,0.2,0.2,1.000,0.2,0.9,1.1,1.3,0.6,0.2,0.5,0.6,2.7
Moses Brown,25,C,9,0,5.1,1.4,2.2,.650,0.0,0.0,,1.4,2.2,.650,.650,0.3,0.6,.600,0.4,1.0,1.4,0.0,0.2,0.1,0.7,0.7,3.2
James Wiseman,23,C,1,0,5.0,2.0,4.0,.500,0.0,1.0,.000,2.0,3.0,.667,.500,2.0,2.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
James Johnson,37,PF,12,0,3.1,0.3,0.9,.364,0.0,0.3,.000,0.3,0.7,.500,.364,0.0,0.1,.000,0.0,0.5,0.5,0.3,0.0,0.2,0.3,0.4,0.7
Jahlil Okafor,29,C,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tristen Newton,23,SG,5,0,1.6,0.2,1.2,.167,0.0,0.6,.000,0.2,0.6,.333,.167,0.2,0.2,1.000,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,0.6
