Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Luka DonÄiÄ,25,PG,28,28,35.1,8.8,20.0,.438,3.6,9.6,.379,5.1,10.4,.493,.530,7.0,8.9,.791,0.9,7.2,8.1,7.5,1.6,0.4,3.7,2.4,28.2
Austin Reaves,26,SG,73,73,34.9,6.5,14.2,.460,2.7,7.3,.377,3.8,6.9,.547,.556,4.4,5.0,.877,0.8,3.7,4.5,5.8,1.1,0.3,2.4,2.1,20.2
LeBron James,40,SF,70,70,34.9,9.3,18.1,.513,2.1,5.7,.376,7.2,12.5,.574,.571,3.7,4.7,.782,1.0,6.8,7.8,8.2,1.0,0.6,3.7,1.4,24.4
Anthony Davis,31,C,42,42,34.3,9.5,18.0,.528,0.7,2.2,.298,8.9,15.8,.560,.546,6.0,7.6,.788,2.8,9.0,11.9,3.4,1.3,2.1,2.2,2.0,25.7
Rui Hachimura,26,PF,59,57,31.7,5.0,9.8,.509,1.7,4.2,.413,3.2,5.6,.581,.597,1.5,1.9,.770,1.3,3.7,5.0,1.4,0.8,0.4,0.8,1.8,13.1
Dorian Finney-Smith,31,PF,43,20,28.8,2.8,6.4,.442,1.9,4.8,.398,0.9,1.6,.571,.591,0.3,0.5,.714,1.1,2.5,3.6,1.4,0.9,0.3,0.9,1.9,7.9
D'Angelo Russell,28,PG,29,10,26.3,4.4,10.7,.415,1.9,5.8,.333,2.5,4.9,.510,.505,1.6,1.8,.849,0.3,2.5,2.8,4.7,0.8,0.1,1.7,1.8,12.4
Max Christie,21,SG,46,25,25.1,2.8,6.3,.444,1.3,3.5,.368,1.5,2.7,.544,.549,1.6,1.9,.851,0.5,2.1,2.7,1.4,0.8,0.5,0.8,1.6,8.5
Gabe Vincent,28,PG,72,11,21.2,2.3,5.8,.400,1.5,4.3,.353,0.8,1.5,.532,.530,0.2,0.3,.714,0.3,1.0,1.3,1.4,0.7,0.2,0.6,2.1,6.4
Jaxson Hayes,24,C,56,35,19.5,2.9,4.0,.722,0.0,0.1,.000,2.9,3.9,.732,.722,1.1,1.8,.622,1.4,3.4,4.8,1.0,0.6,0.9,0.8,2.4,6.8
Dalton Knecht,23,SF,78,16,19.2,3.3,7.1,.461,1.6,4.4,.376,1.7,2.8,.594,.576,0.8,1.1,.762,0.5,2.3,2.8,0.8,0.3,0.1,0.5,1.2,9.1
Jordan Goodwin,26,PG,29,5,18.7,2.2,5.0,.438,0.9,2.3,.382,1.3,2.6,.487,.528,0.3,0.4,.818,1.3,2.6,3.9,1.4,1.0,0.4,0.9,1.5,5.6
Cam Reddish,25,SF,33,8,17.8,1.2,2.8,.404,0.4,1.4,.277,0.8,1.4,.532,.473,0.5,0.8,.615,0.5,1.5,2.0,0.7,1.0,0.3,0.4,1.3,3.2
Jarred Vanderbilt,25,PF,36,2,16.1,1.6,3.4,.488,0.3,0.9,.281,1.4,2.5,.562,.525,0.6,1.0,.556,1.9,3.2,5.1,1.1,1.0,0.3,0.8,1.9,4.1
Markieff Morris,35,PF,8,2,15.5,2.0,6.0,.333,0.9,2.9,.304,1.1,3.1,.360,.406,0.6,0.8,.833,0.4,1.5,1.9,2.1,0.1,0.3,0.4,1.8,5.5
Alex Len,31,C,10,4,12.2,1.0,2.2,.455,0.1,0.3,.333,0.9,1.9,.474,.477,0.1,0.4,.250,1.3,1.8,3.1,0.8,0.1,0.3,0.9,2.1,2.2
Shake Milton,28,SG,30,1,11.5,1.4,3.2,.433,0.3,1.1,.294,1.1,2.1,.508,.485,0.7,0.9,.846,0.5,1.3,1.8,1.3,0.3,0.1,0.7,0.8,3.9
Trey Jemison,25,C,22,0,10.3,1.2,1.9,.619,0.0,0.0,,1.2,1.9,.619,.619,0.2,0.5,.417,1.0,1.8,2.8,0.3,0.1,0.4,0.6,1.9,2.6
Christian Koloko,24,C,37,0,9.2,1.1,1.8,.606,0.0,0.1,.000,1.1,1.7,.645,.606,0.3,0.4,.714,0.9,1.5,2.5,0.4,0.2,0.4,0.3,1.2,2.4
Armel TraorÃ©,22,SF,9,0,7.4,0.7,2.1,.316,0.0,0.8,.000,0.7,1.3,.500,.316,0.2,0.8,.286,0.2,1.4,1.7,0.1,0.4,0.2,0.3,0.7,1.6
Jalen Hood-Schifino,21,SG,2,0,7.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,1.0,1.0,1.000,0.5,0.0,0.5,0.5,0.0,0.5,0.5,1.5,2.0
Bronny James,20,SG,27,1,6.7,0.8,2.5,.313,0.3,1.2,.281,0.4,1.3,.343,.381,0.4,0.5,.786,0.1,0.5,0.7,0.8,0.3,0.1,0.5,0.5,2.3
Quincy Olivari,23,PG,2,0,5.0,0.5,2.5,.200,0.5,2.5,.200,0.0,0.0,,.300,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.5
Maxwell Lewis,22,SF,7,0,4.1,0.3,0.9,.333,0.0,0.0,,0.3,0.9,.333,.333,0.0,0.0,,0.3,0.0,0.3,0.3,0.1,0.0,0.3,0.1,0.6
