Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
245,1,2024-10-23,MEM,@,UTA,"W, 126-124",*,27:05,8,20,.400,4,10,.400,4,10,.400,.500,4,4,1.000,0,4,4,4,1,1,1,4,24,16.3,-8,Desmond Bane
246,2,2024-10-25,MEM,@,HOU,"L, 108-128",*,29:11,8,16,.500,0,4,.000,8,12,.667,.500,1,2,.500,1,2,3,4,2,2,2,3,17,12.9,-12,Desmond Bane
247,3,2024-10-26,MEM,,ORL,"W, 124-111",*,28:03,5,10,.500,2,6,.333,3,4,.750,.600,1,1,1.000,1,6,7,2,2,0,3,4,13,9.3,7,Desmond Bane
248,4,2024-10-28,MEM,,CHI,"L, 123-126",*,31:26,11,19,.579,6,10,.600,5,9,.556,.737,2,2,1.000,2,5,7,4,0,0,1,3,30,24.6,2,Desmond Bane
249,5,2024-10-30,MEM,,BRK,"L, 106-119",*,16:43,3,7,.429,1,2,.500,2,5,.400,.500,3,3,1.000,1,5,6,0,0,0,2,1,10,6.1,-10,Desmond Bane
,6,2024-10-31,MEM,,MIL,"W, 122-99",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Desmond Bane
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Desmond Bane
,7,2024-11-02,MEM,@,PHI,"W, 124-107",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Desmond Bane
,8,2024-11-04,MEM,@,BRK,"L, 104-106",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Desmond Bane
,9,2024-11-06,MEM,,LAL,"W, 131-114",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Desmond Bane
,10,2024-11-08,MEM,,WAS,"W, 128-104",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Desmond Bane
,11,2024-11-10,MEM,@,POR,"W, 134-89",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Desmond Bane
,12,2024-11-13,MEM,@,LAL,"L, 123-128",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Desmond Bane
250,13,2024-11-15,MEM,@,GSW,"L, 118-123",,27:01,7,13,.538,1,4,.250,6,9,.667,.577,3,4,.750,1,5,6,2,2,0,3,1,18,13.5,12,Desmond Bane
251,14,2024-11-17,MEM,,DEN,"W, 105-90",*,28:31,5,12,.417,1,7,.143,4,5,.800,.458,0,0,,1,10,11,7,0,1,2,1,11,11.5,14,Desmond Bane
252,15,2024-11-19,MEM,,DEN,"L, 110-122",*,29:24,1,10,.100,0,5,.000,1,5,.200,.100,3,5,.600,0,5,5,5,1,0,2,5,5,-0.4,-24,Desmond Bane
253,16,2024-11-20,MEM,,PHI,"W, 117-111",*,34:58,8,18,.444,5,11,.455,3,7,.429,.583,0,0,,1,9,10,6,1,1,4,2,21,16.1,14,Desmond Bane
254,17,2024-11-23,MEM,@,CHI,"W, 142-131",*,30:03,4,14,.286,1,5,.200,3,9,.333,.321,4,6,.667,2,5,7,2,0,1,2,1,13,6.6,5,Desmond Bane
255,18,2024-11-25,MEM,,POR,"W, 123-98",*,23:59,2,8,.250,1,4,.250,1,4,.250,.313,3,4,.750,0,7,7,2,0,1,2,3,8,3.8,9,Desmond Bane
256,19,2024-11-27,MEM,,DET,"W, 131-111",*,22:22,1,6,.167,0,3,.000,1,3,.333,.167,0,0,,1,6,7,7,1,0,5,1,2,1.2,6,Desmond Bane
257,20,2024-11-29,MEM,,NOP,"W, 120-109",*,25:38,3,8,.375,1,3,.333,2,5,.400,.438,0,0,,0,3,3,4,1,0,1,4,7,4.7,11,Desmond Bane
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Desmond Bane
258,21,2024-12-01,MEM,,IND,"W, 136-121",*,30:00,7,15,.467,2,8,.250,5,7,.714,.533,0,0,,0,6,6,6,1,0,1,4,16,12.7,18,Desmond Bane
259,22,2024-12-03,MEM,@,DAL,"L, 116-121",*,31:15,8,14,.571,2,5,.400,6,9,.667,.643,1,1,1.000,1,2,3,3,1,1,2,5,19,13.5,-1,Desmond Bane
260,23,2024-12-05,MEM,,SAC,"W, 115-110",*,32:25,6,10,.600,2,4,.500,4,6,.667,.700,4,4,1.000,2,6,8,7,1,0,3,2,18,18.7,15,Desmond Bane
261,24,2024-12-07,MEM,@,BOS,"W, 127-121",*,32:45,5,12,.417,2,5,.400,3,7,.429,.500,2,2,1.000,0,2,2,4,3,0,4,2,14,9.2,17,Desmond Bane
,25,2024-12-08,MEM,@,WAS,"W, 140-112",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Desmond Bane
262,26,2024-12-13,MEM,,BRK,"W, 135-119",*,28:09,8,14,.571,2,6,.333,6,8,.750,.643,3,3,1.000,1,3,4,8,1,2,0,1,21,23.6,20,Desmond Bane
263,27,2024-12-15,MEM,@,LAL,"L, 110-116",*,28:06,3,8,.375,0,2,.000,3,6,.500,.375,1,1,1.000,2,5,7,7,0,0,1,4,7,7.8,-12,Desmond Bane
264,28,2024-12-19,MEM,,GSW,"W, 144-93",*,24:15,6,9,.667,3,5,.600,3,4,.750,.833,0,0,,0,4,4,7,1,0,3,1,15,14.8,36,Desmond Bane
265,29,2024-12-21,MEM,@,ATL,"W, 128-112",*,26:57,7,12,.583,4,8,.500,3,4,.750,.750,5,5,1.000,0,5,5,8,4,0,2,3,23,25.3,20,Desmond Bane
266,30,2024-12-23,MEM,,LAC,"L, 110-114",*,31:52,7,15,.467,3,7,.429,4,8,.500,.567,4,5,.800,3,6,9,7,2,0,4,3,21,18.5,0,Desmond Bane
267,31,2024-12-26,MEM,,TOR,"W, 155-126",*,23:21,8,13,.615,3,6,.500,5,7,.714,.731,0,0,,0,5,5,2,0,1,2,3,19,13.5,22,Desmond Bane
268,32,2024-12-27,MEM,@,NOP,"W, 132-124",*,32:14,6,13,.462,2,6,.333,4,7,.571,.538,4,4,1.000,0,4,4,8,4,0,1,2,18,20.3,14,Desmond Bane
269,33,2024-12-29,MEM,@,OKC,"L, 106-130",*,29:07,7,15,.467,3,8,.375,4,7,.571,.567,5,6,.833,1,8,9,4,0,0,2,2,22,17.0,-19,Desmond Bane
270,34,2024-12-31,MEM,@,PHO,"W, 117-112",*,36:53,13,25,.520,4,8,.500,9,17,.529,.600,1,3,.333,1,4,5,7,0,1,4,4,31,19.8,2,Desmond Bane
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Desmond Bane
271,35,2025-01-03,MEM,@,SAC,"L, 133-138",*,34:53,7,14,.500,0,4,.000,7,10,.700,.500,8,8,1.000,1,6,7,8,2,1,5,2,22,20.0,-1,Desmond Bane
272,36,2025-01-04,MEM,@,GSW,"L, 113-121",*,35:11,9,20,.450,2,8,.250,7,12,.583,.500,2,2,1.000,0,4,4,10,2,1,8,0,22,14.5,-10,Desmond Bane
,37,2025-01-06,MEM,,DAL,"W, 119-104",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Desmond Bane
273,38,2025-01-09,MEM,,HOU,"L, 115-119",*,27:26,6,10,.600,2,5,.400,4,5,.800,.700,2,3,.667,0,4,4,4,2,0,4,4,16,11.4,-6,Desmond Bane
274,39,2025-01-11,MEM,@,MIN,"W, 127-125",*,31:47,8,14,.571,4,8,.500,4,6,.667,.714,1,1,1.000,0,5,5,5,2,0,3,2,21,17.6,4,Desmond Bane
275,40,2025-01-13,MEM,@,HOU,"L, 118-120",*,34:05,9,13,.692,4,5,.800,5,8,.625,.846,3,3,1.000,1,2,3,2,2,0,3,1,25,20.8,-11,Desmond Bane
276,41,2025-01-15,MEM,@,SAS,"W, 129-115",*,32:54,8,13,.615,2,4,.500,6,9,.667,.692,3,3,1.000,2,1,3,2,2,1,0,2,21,20.1,9,Desmond Bane
277,42,2025-01-17,MEM,@,SAS,"W, 140-112",*,32:57,10,17,.588,2,6,.333,8,11,.727,.647,0,0,,1,5,6,14,3,0,3,3,22,24.9,23,Desmond Bane
278,43,2025-01-20,MEM,,MIN,"W, 108-106",*,37:07,7,14,.500,4,6,.667,3,8,.375,.643,4,4,1.000,2,4,6,5,2,0,1,0,22,22.1,16,Desmond Bane
279,44,2025-01-22,MEM,,CHO,"W, 132-120",*,33:44,10,15,.667,4,7,.571,6,8,.750,.800,0,0,,0,2,2,8,0,1,0,3,24,23.2,17,Desmond Bane
