Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Desmond Bane,26,SG,69,68,32.0,7.1,14.8,.484,2.4,6.1,.392,4.8,8.7,.548,.565,2.6,2.9,.894,0.9,5.2,6.1,5.3,1.2,0.4,2.4,2.4,19.2
Ja Morant,25,PG,50,50,30.4,8.1,17.8,.454,1.8,5.7,.309,6.3,12.1,.523,.504,5.3,6.4,.824,0.7,3.4,4.1,7.3,1.2,0.2,3.7,2.3,23.2
Jaren Jackson Jr.,25,C,74,74,29.8,8.0,16.4,.488,2.0,5.3,.375,6.0,11.1,.541,.548,4.2,5.4,.781,1.2,4.4,5.6,2.0,1.2,1.5,2.1,3.5,22.2
Jaylen Wells,21,SG,79,74,25.9,3.6,8.6,.425,1.7,5.0,.352,1.9,3.6,.525,.527,1.4,1.7,.822,1.1,2.3,3.4,1.7,0.6,0.1,0.9,1.8,10.4
Santi Aldama,24,PF,65,16,25.5,4.8,10.0,.483,1.8,5.0,.368,3.0,5.0,.599,.576,1.0,1.4,.691,1.4,5.0,6.4,2.9,0.8,0.4,1.1,1.2,12.5
Luke Kennard,28,SG,65,11,22.6,3.2,6.6,.478,1.7,4.0,.433,1.4,2.6,.547,.609,0.8,0.9,.895,0.6,2.2,2.8,3.3,0.8,0.1,1.1,0.9,8.9
Zach Edey,22,C,66,55,21.5,3.8,6.6,.580,0.3,0.8,.346,3.5,5.8,.612,.600,1.4,1.9,.709,3.5,4.8,8.3,1.0,0.5,1.3,1.3,2.8,9.2
Scotty Pippen Jr.,24,PG,79,21,21.3,3.6,7.5,.480,1.1,2.8,.397,2.5,4.7,.528,.553,1.5,2.2,.713,0.8,2.5,3.3,4.4,1.3,0.4,1.7,2.6,9.9
Marcus Smart,30,PG,19,6,21.1,2.8,7.8,.358,1.5,4.7,.322,1.3,3.1,.414,.456,1.6,1.9,.833,0.7,1.5,2.3,3.7,1.2,0.3,1.8,1.6,8.7
Jake LaRavia,23,PF,47,0,20.9,2.5,5.1,.490,0.9,1.9,.444,1.7,3.2,.517,.573,1.4,2.0,.698,1.4,2.9,4.4,2.8,0.9,0.4,1.5,2.0,7.3
Brandon Clarke,28,PF,64,18,18.9,3.7,5.9,.621,0.0,0.3,.059,3.7,5.7,.647,.622,1.0,1.4,.701,2.0,3.1,5.1,1.0,0.8,0.6,0.6,2.3,8.3
Vince Williams Jr.,24,SG,27,5,18.5,2.5,6.2,.401,1.0,3.5,.274,1.5,2.7,.569,.479,0.7,0.9,.792,0.8,2.8,3.6,2.0,0.4,0.3,1.2,1.7,6.6
GG Jackson II,20,PF,29,3,15.8,2.6,6.9,.372,1.1,3.3,.337,1.4,3.6,.404,.452,1.0,1.4,.725,0.9,2.2,3.2,1.0,0.4,0.2,1.1,1.0,7.2
John Konchar,28,SG,46,4,12.1,0.9,2.0,.451,0.5,1.3,.371,0.4,0.6,.621,.577,0.2,0.2,.875,0.8,2.5,3.3,0.9,0.7,0.3,0.3,0.7,2.4
Jay Huff,26,C,64,2,11.7,2.5,4.8,.515,1.3,3.1,.405,1.2,1.6,.724,.648,0.7,0.9,.786,0.5,1.5,2.0,0.6,0.3,0.9,0.5,1.2,6.9
Cam Spencer,24,SG,25,1,10.1,1.4,3.3,.415,0.8,2.1,.358,0.6,1.2,.517,.530,0.8,0.8,1.000,0.5,0.7,1.2,1.4,0.4,0.0,0.2,0.9,4.2
Lamar Stevens,27,PF,17,1,9.1,1.7,3.7,.460,0.5,1.6,.296,1.2,2.1,.583,.524,0.5,0.6,.727,0.2,2.0,2.2,0.5,0.3,0.2,0.6,0.9,4.4
Marvin Bagley III,25,PF,12,1,8.3,1.4,2.9,.486,0.1,0.8,.111,1.3,2.2,.615,.500,0.7,1.0,.667,0.9,1.4,2.3,0.3,0.2,0.3,0.1,0.5,3.6
Colin Castleton,24,C,10,0,4.6,0.2,1.0,.200,0.0,0.4,.000,0.2,0.6,.333,.200,1.0,1.1,.909,0.3,0.6,0.9,0.0,0.1,0.1,0.1,0.6,1.4
Yuki Kawamura,23,PG,22,0,4.2,0.5,1.4,.367,0.3,1.0,.304,0.2,0.3,.571,.483,0.3,0.4,.778,0.0,0.5,0.5,0.9,0.1,0.0,0.2,0.4,1.6
Zyon Pullin,23,SG,3,0,1.0,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
