Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tyler Herro,25,SG,77,77,35.4,8.5,17.9,.472,3.3,8.7,.375,5.2,9.2,.565,.563,3.7,4.2,.878,0.5,4.7,5.2,5.5,0.9,0.2,2.6,1.1,23.9
Bam Adebayo,27,C,78,78,34.3,6.9,14.3,.485,1.0,2.8,.357,5.9,11.4,.517,.521,3.2,4.2,.765,2.4,7.2,9.6,4.3,1.3,0.7,2.1,2.1,18.1
Andrew Wiggins,29,SF,17,17,32.1,6.8,14.8,.458,2.1,5.9,.360,4.6,8.9,.523,.530,3.4,4.6,.731,1.4,2.9,4.2,3.3,1.2,1.0,2.5,1.8,19.0
Davion Mitchell,26,PG,30,15,31.6,3.9,7.7,.504,1.4,3.1,.447,2.5,4.6,.543,.595,1.1,1.6,.702,0.6,2.1,2.7,5.3,1.4,0.3,1.7,2.3,10.3
Jimmy Butler,35,PF,25,25,30.6,5.7,10.5,.540,0.5,1.4,.361,5.2,9.1,.568,.565,5.2,6.4,.801,2.2,3.0,5.2,4.8,1.1,0.4,1.2,0.9,17.0
Terry Rozier,30,PG,64,23,25.9,3.9,9.9,.391,1.4,4.8,.295,2.5,5.1,.480,.462,1.4,1.7,.852,0.7,3.0,3.7,2.6,0.6,0.2,1.2,1.1,10.6
Nikola JoviÄ,21,PF,46,10,25.1,3.7,8.2,.456,1.7,4.6,.371,2.0,3.6,.563,.560,1.6,1.9,.828,0.6,3.3,3.9,2.8,0.8,0.3,1.3,1.8,10.7
Haywood Highsmith,28,SF,74,42,24.6,2.4,5.3,.458,1.2,3.1,.382,1.2,2.1,.570,.572,0.4,0.6,.721,1.0,2.4,3.4,1.5,0.9,0.5,0.7,2.2,6.5
Duncan Robinson,30,SF,74,37,24.1,3.9,9.0,.437,2.6,6.5,.393,1.4,2.4,.556,.581,0.6,0.7,.887,0.2,2.0,2.3,2.4,0.5,0.1,1.2,1.8,11.0
Kel'el Ware,20,C,64,36,22.2,4.0,7.3,.554,0.5,1.7,.315,3.5,5.5,.629,.592,0.7,1.0,.687,1.8,5.6,7.4,0.9,0.6,1.1,0.9,1.7,9.3
Jaime Jaquez Jr.,23,SF,66,17,20.7,3.2,7.0,.461,0.6,1.8,.311,2.7,5.2,.513,.501,1.6,2.2,.754,1.3,3.1,4.4,2.5,0.9,0.2,1.5,1.2,8.6
Dru Smith,27,SG,14,1,19.1,2.2,4.4,.508,1.1,2.1,.533,1.1,2.2,.484,.639,0.6,0.9,.750,0.9,1.7,2.6,1.6,1.5,0.4,1.2,2.1,6.2
Josh Richardson,31,SG,8,0,18.8,1.4,4.8,.289,0.8,2.8,.273,0.6,2.0,.313,.368,0.5,0.5,1.000,0.8,0.8,1.5,1.5,1.0,0.1,1.0,2.1,4.0
Kyle Anderson,31,SF,25,1,18.4,2.6,5.4,.493,0.2,0.7,.333,2.4,4.6,.517,.515,1.2,1.5,.789,1.0,2.8,3.8,2.6,0.6,0.5,0.7,1.6,6.7
Alec Burks,33,SG,49,14,17.6,2.3,5.5,.424,1.8,4.2,.425,0.6,1.3,.422,.587,0.8,1.0,.776,0.3,2.2,2.5,1.1,0.6,0.1,0.6,0.8,7.3
Pelle Larsson,23,SG,55,8,14.2,1.6,3.7,.438,0.6,1.7,.337,1.0,2.0,.528,.517,0.7,1.1,.672,0.5,1.2,1.7,1.2,0.6,0.1,0.4,1.7,4.6
Thomas Bryant,27,C,10,0,11.5,1.2,2.8,.429,0.6,1.7,.353,0.6,1.1,.545,.536,1.1,1.1,1.000,0.6,2.6,3.2,0.4,0.1,0.9,0.2,0.9,4.1
Kevin Love,36,PF,23,9,10.9,1.8,5.0,.357,1.0,2.9,.358,0.7,2.1,.354,.461,0.7,1.0,.696,1.0,3.1,4.1,1.0,0.7,0.2,0.6,0.9,5.3
Keshad Johnson,23,SF,16,0,6.1,1.1,1.6,.692,0.2,0.4,.429,0.9,1.2,.789,.750,0.3,0.6,.444,0.4,1.4,1.8,0.3,0.3,0.3,0.3,0.7,2.7
Josh Christopher,23,SG,14,0,4.9,0.8,2.2,.355,0.1,0.8,.182,0.6,1.4,.450,.387,0.3,0.4,.667,0.0,0.6,0.6,0.6,0.4,0.2,0.4,0.1,2.0
Isaiah Stevens,24,PG,3,0,2.0,0.0,0.7,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.7,0.7,0.0,0.3,0.0,0.0,0.0,0.0
