Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
,1,2024-10-23,NOP,,CHI,"W, 123-111",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
,2,2024-10-25,NOP,@,POR,"W, 105-103",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
,3,2024-10-27,NOP,@,POR,"L, 103-125",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
,4,2024-10-29,NOP,@,GSW,"L, 106-124",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
,5,2024-10-30,NOP,@,GSW,"L, 89-104",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Trey Murphy III
,6,2024-11-01,NOP,,IND,"W, 125-118",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
,7,2024-11-03,NOP,,ATL,"L, 111-126",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
,8,2024-11-04,NOP,,POR,"L, 100-118",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
,9,2024-11-06,NOP,,CLE,"L, 122-131",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
,10,2024-11-08,NOP,@,ORL,"L, 88-115",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
199,11,2024-11-11,NOP,,BRK,"L, 105-107",*,25:37,4,14,.286,2,6,.333,2,8,.250,.357,2,2,1.000,2,3,5,0,0,2,4,3,12,2.3,-2,Trey Murphy III
200,12,2024-11-13,NOP,@,OKC,"L, 88-106",*,25:56,4,12,.333,2,8,.250,2,4,.500,.417,4,4,1.000,0,2,2,2,0,0,1,3,14,7.0,-2,Trey Murphy III
201,13,2024-11-15,NOP,,DEN,"W, 101-94",*,30:03,7,15,.467,2,8,.250,5,7,.714,.533,1,1,1.000,1,7,8,3,1,0,2,2,17,12.4,-8,Trey Murphy III
,14,2024-11-16,NOP,,LAL,"L, 99-104",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
202,15,2024-11-19,NOP,@,DAL,"L, 91-132",*,29:18,5,13,.385,2,7,.286,3,6,.500,.462,7,7,1.000,0,5,5,1,2,0,3,1,19,12.7,-35,Trey Murphy III
,16,2024-11-20,NOP,@,CLE,"L, 100-128",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
203,17,2024-11-22,NOP,,GSW,"L, 108-112",*,38:04,9,17,.529,5,9,.556,4,8,.500,.676,1,2,.500,1,3,4,4,0,1,0,2,24,19.6,-4,Trey Murphy III
204,18,2024-11-25,NOP,@,IND,"L, 110-114",*,39:42,9,19,.474,2,11,.182,7,8,.875,.526,4,7,.571,0,6,6,4,1,1,0,0,24,19.4,14,Trey Murphy III
,19,2024-11-27,NOP,,TOR,"L, 93-119",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
205,20,2024-11-29,NOP,@,MEM,"L, 109-120",*,37:52,8,23,.348,2,8,.250,6,15,.400,.391,3,4,.750,3,6,9,0,1,1,1,1,21,11.9,-13,Trey Murphy III
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Trey Murphy III
206,21,2024-12-01,NOP,@,NYK,"L, 85-118",*,29:02,3,14,.214,3,9,.333,0,5,.000,.321,2,2,1.000,1,3,4,2,1,0,1,2,11,4.6,-34,Trey Murphy III
207,22,2024-12-02,NOP,@,ATL,"L, 112-124",*,37:02,5,12,.417,3,9,.333,2,3,.667,.542,1,1,1.000,0,1,1,5,2,1,1,5,14,11.1,-15,Trey Murphy III
208,23,2024-12-05,NOP,,PHO,"W, 126-124",,33:53,7,11,.636,3,6,.500,4,5,.800,.773,2,2,1.000,1,1,2,2,0,0,3,3,19,12.3,-3,Trey Murphy III
209,24,2024-12-07,NOP,,OKC,"L, 109-119",,33:37,5,9,.556,3,6,.500,2,3,.667,.722,3,3,1.000,1,2,3,2,5,1,2,4,16,16.5,-2,Trey Murphy III
210,25,2024-12-08,NOP,@,SAS,"L, 116-121",*,38:04,8,16,.500,4,10,.400,4,6,.667,.625,5,5,1.000,0,6,6,5,1,1,1,1,25,22.6,-9,Trey Murphy III
211,26,2024-12-12,NOP,,SAC,"L, 109-111",*,39:48,6,13,.462,3,9,.333,3,4,.750,.577,6,7,.857,0,4,4,0,1,0,2,3,21,12.9,-1,Trey Murphy III
