Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
387,1,2024-10-24,OKC,@,DEN,"W, 102-87",*,36:12,11,24,.458,2,6,.333,9,18,.500,.500,4,5,.800,2,5,7,8,2,3,2,2,28,25.0,8,Shai Gilgeous-Alexander
388,2,2024-10-26,OKC,@,CHI,"W, 114-95",*,29:30,9,21,.429,2,9,.222,7,12,.583,.476,3,3,1.000,2,6,8,2,4,0,1,1,23,19.1,23,Shai Gilgeous-Alexander
389,3,2024-10-27,OKC,,ATL,"W, 128-104",*,36:01,11,24,.458,3,8,.375,8,16,.500,.521,10,11,.909,2,9,11,9,3,3,1,3,35,35.5,24,Shai Gilgeous-Alexander
390,4,2024-10-30,OKC,,SAS,"W, 105-93",*,27:35,7,20,.350,2,10,.200,5,10,.500,.400,2,2,1.000,0,4,4,5,1,0,1,1,18,11.1,3,Shai Gilgeous-Alexander
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Shai Gilgeous-Alexander
391,5,2024-11-01,OKC,@,POR,"W, 137-114",*,28:23,12,18,.667,1,6,.167,11,12,.917,.694,5,6,.833,1,6,7,6,1,0,3,1,30,26.1,25,Shai Gilgeous-Alexander
392,6,2024-11-02,OKC,@,LAC,"W, 105-92",*,31:20,7,14,.500,2,4,.500,5,10,.500,.571,9,9,1.000,0,3,3,9,0,1,3,2,25,22.1,8,Shai Gilgeous-Alexander
393,7,2024-11-04,OKC,,ORL,"W, 102-86",*,35:04,8,16,.500,1,3,.333,7,13,.538,.531,4,4,1.000,0,6,6,9,1,0,4,4,21,16.5,18,Shai Gilgeous-Alexander
394,8,2024-11-06,OKC,@,DEN,"L, 122-124",*,38:49,10,19,.526,0,3,.000,10,16,.625,.526,8,10,.800,0,2,2,6,1,1,8,1,28,16.0,3,Shai Gilgeous-Alexander
395,9,2024-11-08,OKC,,HOU,"W, 126-107",*,29:02,11,16,.688,1,2,.500,10,14,.714,.719,6,7,.857,1,4,5,4,1,1,3,2,29,24.4,5,Shai Gilgeous-Alexander
396,10,2024-11-10,OKC,,GSW,"L, 116-127",*,33:44,6,17,.353,0,2,.000,6,15,.400,.353,12,14,.857,1,4,5,4,0,1,4,0,24,15.1,-11,Shai Gilgeous-Alexander
397,11,2024-11-11,OKC,,LAC,"W, 134-128",*,39:21,13,21,.619,4,8,.500,9,13,.692,.714,15,16,.938,0,3,3,9,5,2,1,3,45,46.5,8,Shai Gilgeous-Alexander
398,12,2024-11-13,OKC,,NOP,"W, 106-88",*,32:37,12,25,.480,3,7,.429,9,18,.500,.540,2,3,.667,0,5,5,5,2,2,2,0,29,22.3,18,Shai Gilgeous-Alexander
399,13,2024-11-15,OKC,,PHO,"W, 99-83",*,32:56,11,25,.440,2,7,.286,9,18,.500,.480,4,4,1.000,3,3,6,4,0,1,2,2,28,18.6,21,Shai Gilgeous-Alexander
400,14,2024-11-17,OKC,,DAL,"L, 119-121",*,38:28,13,19,.684,1,1,1.000,12,18,.667,.711,9,11,.818,0,2,2,8,2,2,1,1,36,35.3,8,Shai Gilgeous-Alexander
401,15,2024-11-19,OKC,@,SAS,"L, 104-110",*,37:16,11,20,.550,5,8,.625,6,12,.500,.675,5,6,.833,0,3,3,8,3,0,4,3,32,26.3,2,Shai Gilgeous-Alexander
