Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Shai Gilgeous-Alexander,26,PG,76,76,34.2,11.3,21.8,.519,2.1,5.7,.375,9.2,16.1,.571,.569,7.9,8.8,.898,0.9,4.1,5.0,6.4,1.7,1.0,2.4,2.2,32.7
Jalen Williams,23,SG,69,69,32.4,8.2,16.9,.484,1.8,4.9,.365,6.4,12.0,.533,.537,3.4,4.3,.789,0.9,4.5,5.3,5.1,1.6,0.7,2.2,2.3,21.6
Luguentz Dort,25,SF,71,71,29.2,3.6,8.4,.435,2.4,5.8,.412,1.2,2.5,.489,.578,0.5,0.6,.717,1.3,2.9,4.1,1.6,1.1,0.5,0.7,2.9,10.1
Isaiah Hartenstein,26,C,57,53,27.9,4.9,8.4,.581,0.0,0.3,.000,4.9,8.1,.605,.581,1.4,2.1,.675,2.9,7.9,10.7,3.8,0.8,1.1,1.7,3.0,11.2
Cason Wallace,21,SG,68,43,27.6,3.4,7.2,.474,1.1,3.1,.356,2.3,4.1,.562,.550,0.4,0.5,.811,1.0,2.3,3.4,2.5,1.8,0.5,0.9,2.1,8.4
Chet Holmgren,22,C,32,32,27.4,5.2,10.7,.490,1.4,3.6,.379,3.8,7.0,.547,.554,3.2,4.2,.754,1.5,6.5,8.0,2.0,0.7,2.2,1.8,2.3,15.0
Aaron Wiggins,26,SG,76,26,22.9,4.7,9.6,.488,1.7,4.5,.383,3.0,5.1,.578,.577,1.0,1.2,.831,1.1,2.8,3.9,1.8,0.8,0.2,0.9,1.3,12.0
Isaiah Joe,25,SG,74,16,21.7,3.5,7.9,.440,2.6,6.3,.412,0.9,1.6,.549,.604,0.6,0.8,.821,0.6,2.1,2.6,1.6,0.6,0.1,0.5,1.5,10.2
Alex Caruso,30,SG,54,3,19.3,2.6,5.8,.446,1.1,3.1,.353,1.5,2.7,.556,.541,0.8,0.9,.824,0.7,2.2,2.9,2.5,1.6,0.6,0.7,1.9,7.1
Jaylin Williams,22,PF,47,9,16.7,2.1,4.7,.439,1.3,3.3,.399,0.8,1.4,.529,.577,0.5,0.6,.767,1.0,4.6,5.6,2.6,0.5,0.6,0.7,1.7,5.9
Ajay Mitchell,22,SG,36,1,16.6,2.5,5.1,.495,0.6,1.7,.383,1.9,3.4,.548,.557,0.8,1.0,.829,0.5,1.4,1.9,1.8,0.7,0.1,0.8,1.9,6.5
Kenrich Williams,30,PF,69,7,16.4,2.5,5.1,.483,1.0,2.5,.386,1.5,2.7,.574,.576,0.4,0.6,.718,0.9,2.6,3.5,1.4,0.6,0.1,0.6,1.6,6.3
Ousmane Dieng,21,C,37,1,10.9,1.5,3.4,.432,0.6,1.9,.324,0.8,1.5,.574,.524,0.3,0.4,.688,0.5,1.7,2.2,0.8,0.5,0.2,0.5,0.9,3.8
Dillon Jones,23,SF,54,3,10.2,0.9,2.5,.383,0.3,1.2,.254,0.6,1.3,.500,.444,0.3,0.5,.607,0.6,1.7,2.2,1.1,0.3,0.1,0.5,1.0,2.5
Branden Carlson,25,C,32,0,7.7,1.3,3.0,.443,0.7,2.1,.333,0.7,1.0,.677,.557,0.4,0.6,.778,0.5,1.2,1.7,0.4,0.2,0.7,0.2,0.7,3.8
Alex Ducas,24,SG,21,0,6.0,0.6,1.4,.400,0.5,1.0,.476,0.1,0.4,.222,.567,0.1,0.1,1.000,0.4,0.8,1.2,0.2,0.2,0.0,0.2,0.6,1.7
Adam Flagler,25,SG,37,0,5.5,0.7,2.6,.260,0.4,1.9,.194,0.3,0.6,.458,.333,0.0,0.1,.500,0.2,0.5,0.7,0.3,0.2,0.1,0.1,0.4,1.8
Malevy Leons,25,SF,6,0,3.5,0.0,0.3,.000,0.0,0.2,.000,0.0,0.2,.000,.000,0.3,0.7,.500,0.2,0.3,0.5,0.2,0.0,0.0,0.2,0.7,0.3
Alex Reese,25,PF,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
