Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
267,1,2024-10-23,PHI,,MIL,"L, 109-124",*,38:59,10,31,.323,2,9,.222,8,22,.364,.355,3,4,.750,0,6,6,3,1,1,1,1,25,11.1,-13,Tyrese Maxey
268,2,2024-10-25,PHI,@,TOR,"L, 107-115",*,40:54,6,23,.261,2,12,.167,4,11,.364,.304,10,12,.833,0,2,2,4,1,0,1,5,24,10.9,-1,Tyrese Maxey
269,3,2024-10-27,PHI,@,IND,"W, 118-114 (OT)",*,47:47,14,32,.438,5,17,.294,9,15,.600,.516,12,15,.800,0,4,4,4,1,2,5,3,45,27.2,6,Tyrese Maxey
270,4,2024-10-30,PHI,,DET,"L, 95-105",*,40:04,12,25,.480,2,10,.200,10,15,.667,.520,6,7,.857,0,3,3,7,2,0,1,3,32,24.5,-11,Tyrese Maxey
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Tyrese Maxey
271,5,2024-11-02,PHI,,MEM,"L, 107-124",*,37:28,8,19,.421,4,9,.444,4,10,.400,.526,3,3,1.000,0,2,2,6,3,0,3,2,23,16.9,-16,Tyrese Maxey
272,6,2024-11-04,PHI,@,PHO,"L, 116-118",*,40:56,12,22,.545,6,14,.429,6,8,.750,.682,2,3,.667,0,3,3,2,1,1,0,3,32,23.8,-9,Tyrese Maxey
273,7,2024-11-06,PHI,@,LAC,"L, 98-110",*,31:34,5,13,.385,1,6,.167,4,7,.571,.423,1,1,1.000,0,1,1,1,1,0,3,3,12,2.7,-16,Tyrese Maxey
,8,2024-11-08,PHI,@,LAL,"L, 106-116",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrese Maxey
,9,2024-11-10,PHI,,CHO,"W, 107-105 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrese Maxey
,10,2024-11-12,PHI,,NYK,"L, 99-111",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrese Maxey
,11,2024-11-13,PHI,,CLE,"L, 106-114",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrese Maxey
,12,2024-11-15,PHI,@,ORL,"L, 86-98",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrese Maxey
