Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
599,1,2024-10-23,PHO,@,LAC,"W, 116-113 (OT)",*,32:08,5,9,.556,4,5,.800,1,4,.250,.778,1,2,.500,0,4,4,6,1,1,4,6,15,11.0,-4,Devin Booker
600,2,2024-10-25,PHO,@,LAL,"L, 116-123",*,35:20,9,21,.429,4,10,.400,5,11,.455,.524,1,2,.500,2,1,3,4,1,1,2,3,23,14.5,-10,Devin Booker
601,3,2024-10-26,PHO,,DAL,"W, 114-102",*,37:05,4,12,.333,2,8,.250,2,4,.500,.417,11,12,.917,0,1,1,5,1,0,1,3,21,16.4,7,Devin Booker
602,4,2024-10-28,PHO,,LAL,"W, 109-105",*,39:25,11,23,.478,3,8,.375,8,15,.533,.543,8,8,1.000,1,2,3,2,1,0,2,1,33,22.6,2,Devin Booker
603,5,2024-10-31,PHO,@,LAC,"W, 125-119",*,37:46,11,18,.611,5,9,.556,6,9,.667,.750,13,15,.867,1,4,5,8,3,0,2,1,40,39.1,20,Devin Booker
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Devin Booker
604,6,2024-11-02,PHO,,POR,"W, 103-97",*,36:02,9,23,.391,2,10,.200,7,13,.538,.435,8,9,.889,3,6,9,9,0,0,1,1,28,23.9,7,Devin Booker
605,7,2024-11-04,PHO,,PHI,"W, 118-116",*,38:13,3,18,.167,0,6,.000,3,12,.250,.167,7,7,1.000,2,1,3,6,1,1,2,1,13,6.8,1,Devin Booker
606,8,2024-11-06,PHO,,MIA,"W, 115-112",*,38:53,9,17,.529,2,7,.286,7,10,.700,.588,2,3,.667,1,3,4,9,0,0,3,1,22,17.8,8,Devin Booker
607,9,2024-11-08,PHO,@,DAL,"W, 114-113",*,34:32,5,13,.385,1,8,.125,4,5,.800,.423,2,2,1.000,2,4,6,12,0,0,0,2,13,16.1,-17,Devin Booker
608,10,2024-11-10,PHO,,SAC,"L, 118-127 (OT)",*,43:16,9,22,.409,3,10,.300,6,12,.500,.477,2,2,1.000,0,1,1,12,2,0,2,2,23,19.1,-9,Devin Booker
609,11,2024-11-12,PHO,@,UTA,"W, 120-112",*,34:18,11,20,.550,5,9,.556,6,11,.545,.675,4,6,.667,1,1,2,4,2,2,0,0,31,27.8,2,Devin Booker
610,12,2024-11-13,PHO,@,SAC,"L, 104-127",*,31:23,6,16,.375,1,4,.250,5,12,.417,.406,5,6,.833,2,1,3,5,2,0,3,0,18,13.0,-16,Devin Booker
611,13,2024-11-15,PHO,@,OKC,"L, 83-99",*,33:53,2,10,.200,0,0,,2,10,.200,.200,8,8,1.000,1,3,4,4,1,1,4,2,12,7.1,-29,Devin Booker
612,14,2024-11-17,PHO,@,MIN,"L, 117-120",*,39:47,15,29,.517,6,13,.462,9,16,.563,.621,8,9,.889,3,3,6,7,0,1,4,4,44,32.3,4,Devin Booker
613,15,2024-11-18,PHO,,ORL,"L, 99-109",*,38:06,5,14,.357,1,7,.143,4,7,.571,.393,6,6,1.000,0,2,2,5,1,0,2,5,17,10.3,-5,Devin Booker
614,16,2024-11-20,PHO,,NYK,"L, 122-138",*,37:47,12,23,.522,2,7,.286,10,16,.625,.565,7,8,.875,2,1,3,5,0,0,1,3,33,24.3,-19,Devin Booker
