Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Devin Booker,28,SG,75,75,37.3,8.7,18.9,.461,2.4,7.3,.332,6.3,11.6,.542,.525,5.8,6.4,.894,1.0,3.1,4.1,7.1,0.9,0.2,2.9,2.6,25.6
Kevin Durant,36,PF,62,62,36.5,9.5,18.1,.527,2.6,6.0,.430,7.0,12.1,.574,.598,4.9,5.8,.839,0.4,5.7,6.0,4.2,0.8,1.2,3.1,1.7,26.6
Bradley Beal,31,SG,53,38,32.1,6.5,13.1,.497,1.9,5.0,.386,4.6,8.1,.565,.571,2.1,2.6,.803,0.6,2.7,3.3,3.7,1.1,0.5,1.9,2.6,17.0
Tyus Jones,28,PG,81,58,26.8,3.8,8.4,.448,2.0,5.0,.414,1.7,3.5,.496,.570,0.6,0.7,.895,0.5,1.9,2.4,5.3,0.9,0.1,1.1,0.8,10.2
Royce O'Neale,31,SF,75,22,24.5,3.2,7.6,.423,2.4,5.9,.406,0.8,1.7,.481,.580,0.3,0.3,.731,0.7,3.9,4.7,2.2,0.9,0.5,0.9,2.0,9.1
Grayson Allen,29,SG,64,7,24.1,3.4,7.6,.448,2.3,5.5,.426,1.1,2.2,.504,.600,1.5,1.8,.816,0.5,2.5,3.0,2.1,0.8,0.3,1.2,1.5,10.6
Jusuf NurkiÄ,30,C,25,23,23.7,3.0,6.5,.454,0.8,2.4,.322,2.2,4.2,.529,.512,1.9,2.8,.696,1.8,7.3,9.2,1.9,0.9,0.6,2.3,3.1,8.6
Nick Richards,27,C,36,34,22.7,3.9,6.5,.605,0.0,0.0,.000,3.9,6.4,.608,.605,1.7,2.0,.822,2.7,5.9,8.6,0.6,0.2,0.8,1.3,2.6,9.5
Ryan Dunn,22,SF,74,44,19.1,2.8,6.4,.430,1.1,3.6,.311,1.7,2.9,.577,.516,0.3,0.5,.487,1.2,2.4,3.6,0.8,0.6,0.5,0.5,2.2,6.9
Mason Plumlee,34,C,74,21,17.6,1.7,2.7,.619,0.0,0.1,.000,1.7,2.7,.631,.619,1.1,1.7,.648,1.6,4.6,6.1,1.8,0.4,0.6,0.8,2.1,4.5
Oso Ighodaro,22,PF,61,6,17.1,1.9,3.1,.604,0.0,0.0,.000,1.9,3.0,.611,.604,0.5,0.8,.580,1.1,2.6,3.6,1.2,0.5,0.5,0.6,1.7,4.2
Cody Martin,29,SF,14,0,14.7,1.4,4.1,.351,0.2,1.9,.111,1.2,2.1,.567,.377,0.6,0.9,.750,0.9,2.5,3.4,1.1,0.9,0.4,0.6,1.6,3.7
Collin Gillespie,25,PG,33,9,14.0,2.1,4.8,.430,1.2,2.7,.433,0.9,2.1,.426,.554,0.6,0.7,.864,0.7,1.7,2.4,2.4,0.6,0.2,0.5,0.9,5.9
Josh Okogie,26,SG,25,1,14.0,2.2,4.6,.491,0.6,1.7,.381,1.6,2.9,.556,.561,0.9,1.3,.688,1.3,1.6,2.9,0.6,0.8,0.4,0.6,1.1,6.0
Monte Morris,29,PG,45,0,12.7,1.8,4.3,.426,0.7,1.9,.360,1.2,2.4,.477,.505,0.8,0.9,.857,0.3,1.2,1.5,1.6,0.4,0.1,0.5,0.5,5.2
Bol Bol,25,PF,36,10,12.4,2.7,5.1,.525,0.9,2.6,.344,1.8,2.5,.711,.612,0.6,0.7,.769,0.6,2.3,2.9,0.6,0.3,0.7,0.6,0.6,6.8
TyTy Washington Jr.,23,PG,16,0,7.4,0.9,2.8,.311,0.3,1.3,.190,0.6,1.5,.417,.356,0.2,0.4,.500,0.3,0.6,0.8,1.0,0.2,0.0,0.2,0.3,2.2
Damion Lee,32,SG,25,0,5.8,1.1,3.0,.365,0.4,1.5,.243,0.7,1.5,.486,.426,0.8,0.8,.952,0.1,0.7,0.8,0.4,0.2,0.0,0.4,0.2,3.3
Vasilije MiciÄ,31,PG,5,0,4.2,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.4,0.4,0.2,0.0,0.0,0.6,0.2,0.0
Jalen Bridges,23,SF,8,0,3.8,0.3,0.9,.286,0.3,0.9,.286,0.0,0.0,,.429,0.4,0.5,.750,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.1
