Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
71,1,2024-10-23,POR,,GSW,"L, 104-140",*,29:53,3,8,.375,2,4,.500,1,4,.250,.500,3,4,.750,4,2,6,4,2,0,2,4,11,10.8,-22,Toumani Camara
72,2,2024-10-25,POR,,NOP,"L, 103-105",*,24:56,2,6,.333,1,2,.500,1,4,.250,.417,0,0,,4,2,6,2,1,0,1,4,5,4.8,3,Toumani Camara
73,3,2024-10-27,POR,,NOP,"W, 125-103",*,33:39,5,8,.625,2,3,.667,3,5,.600,.750,0,1,.000,2,1,3,4,2,0,0,3,12,13.3,18,Toumani Camara
74,4,2024-10-28,POR,@,SAC,"L, 98-111",*,20:49,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,2,0,2,3,1,1,1,4,2,2.9,-7,Toumani Camara
75,5,2024-10-30,POR,@,LAC,"W, 106-105",*,40:12,5,10,.500,2,4,.500,3,6,.500,.600,0,0,,0,1,1,1,3,1,1,2,12,9.9,-7,Toumani Camara
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Toumani Camara
76,6,2024-11-01,POR,,OKC,"L, 114-137",*,24:21,4,7,.571,3,5,.600,1,2,.500,.786,2,2,1.000,0,3,3,2,2,0,2,2,13,11.2,-25,Toumani Camara
77,7,2024-11-02,POR,@,PHO,"L, 97-103",*,34:24,3,9,.333,1,3,.333,2,6,.333,.389,0,0,,5,5,10,1,2,0,0,2,7,8.8,1,Toumani Camara
78,8,2024-11-04,POR,@,NOP,"W, 118-100",*,36:31,6,12,.500,2,5,.400,4,7,.571,.583,2,4,.500,2,3,5,4,1,1,0,4,16,14.4,15,Toumani Camara
79,9,2024-11-07,POR,@,SAS,"L, 105-118",*,34:32,2,7,.286,0,3,.000,2,4,.500,.286,0,0,,3,6,9,1,1,0,2,3,4,2.3,-10,Toumani Camara
80,10,2024-11-08,POR,@,MIN,"L, 102-127",*,25:25,1,3,.333,0,2,.000,1,1,1.000,.333,1,2,.500,2,3,5,0,2,1,6,4,3,-1.7,-3,Toumani Camara
81,11,2024-11-10,POR,,MEM,"L, 89-134",*,25:36,2,5,.400,1,3,.333,1,2,.500,.500,4,4,1.000,1,3,4,0,1,0,3,2,9,5.1,-26,Toumani Camara
82,12,2024-11-12,POR,,MIN,"W, 122-108",*,37:52,5,8,.625,4,5,.800,1,3,.333,.875,0,0,,2,2,4,3,2,0,3,3,14,12.3,20,Toumani Camara
83,13,2024-11-13,POR,,MIN,"W, 106-98",*,35:24,5,9,.556,1,3,.333,4,6,.667,.611,0,0,,2,6,8,1,2,0,2,1,11,10.2,-6,Toumani Camara
84,14,2024-11-17,POR,,ATL,"W, 114-110",*,35:00,1,8,.125,1,3,.333,0,5,.000,.188,0,0,,3,1,4,5,4,0,1,4,3,5.1,-6,Toumani Camara
85,15,2024-11-20,POR,@,OKC,"L, 99-109",*,37:51,5,11,.455,2,7,.286,3,4,.750,.545,2,2,1.000,3,6,9,2,0,1,3,3,14,10.1,-5,Toumani Camara
86,16,2024-11-22,POR,@,HOU,"L, 88-116",*,25:52,4,13,.308,3,9,.333,1,4,.250,.423,0,0,,0,3,3,3,1,1,0,2,11,7.4,-4,Toumani Camara
87,17,2024-11-23,POR,@,HOU,"W, 104-98",*,28:17,2,10,.200,1,5,.200,1,5,.200,.250,0,2,.000,1,4,5,1,1,1,2,4,5,-1.3,-4,Toumani Camara
88,18,2024-11-25,POR,@,MEM,"L, 98-123",*,28:04,4,15,.267,1,8,.125,3,7,.429,.300,1,2,.500,6,2,8,3,2,0,1,3,10,7.4,-18,Toumani Camara
89,19,2024-11-27,POR,@,IND,"L, 114-121",*,24:18,3,4,.750,2,3,.667,1,1,1.000,1.000,0,0,,3,1,4,2,1,0,3,4,8,6.6,-10,Toumani Camara
90,20,2024-11-29,POR,,SAC,"W, 115-106",*,32:46,4,8,.500,1,4,.250,3,4,.750,.563,2,2,1.000,1,3,4,2,0,1,0,4,11,9.1,-1,Toumani Camara
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Toumani Camara
91,21,2024-12-01,POR,,DAL,"L, 131-137",*,36:26,6,10,.600,5,7,.714,1,3,.333,.850,0,0,,3,4,7,4,1,0,2,1,17,17.1,4,Toumani Camara
92,22,2024-12-03,POR,@,LAC,"L, 105-127",*,28:58,4,7,.571,1,3,.333,3,4,.750,.643,0,0,,0,4,4,1,0,0,0,2,9,6.8,-19,Toumani Camara
93,23,2024-12-06,POR,,UTA,"L, 99-141",*,08:06,0,4,.000,0,4,.000,0,0,,.000,0,0,,0,0,0,1,1,0,0,2,0,-1.9,-11,Toumani Camara
