Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Toumani Camara,24,PF,78,78,32.7,4.2,9.2,.458,1.7,4.6,.375,2.5,4.6,.542,.552,1.2,1.6,.722,2.2,3.6,5.8,2.2,1.5,0.6,1.4,2.9,11.3
Anfernee Simons,25,SG,70,70,32.7,6.8,16.1,.426,3.1,8.5,.363,3.8,7.6,.496,.521,2.5,2.8,.902,0.4,2.3,2.7,4.8,0.9,0.1,2.0,1.7,19.3
Jerami Grant,30,PF,47,47,32.4,4.6,12.2,.373,2.3,6.3,.365,2.3,5.9,.381,.467,3.0,3.5,.849,0.6,2.9,3.5,2.1,0.9,1.0,1.4,2.3,14.4
Shaedon Sharpe,21,SG,72,52,31.3,6.9,15.3,.452,2.0,6.6,.311,4.9,8.8,.557,.519,2.6,3.4,.785,0.9,3.6,4.5,2.8,0.9,0.2,2.1,1.7,18.5
Deandre Ayton,26,C,40,40,30.2,6.6,11.7,.566,0.2,0.8,.188,6.5,10.9,.594,.573,1.0,1.5,.667,3.1,7.1,10.2,1.6,0.8,1.0,1.7,2.2,14.4
Deni Avdija,24,SF,72,54,30.0,5.6,11.7,.476,1.7,4.8,.365,3.8,7.0,.552,.550,4.0,5.2,.780,1.5,5.7,7.3,3.9,1.0,0.5,2.7,2.4,16.9
Scoot Henderson,20,PG,66,10,26.7,4.3,10.4,.419,1.6,4.5,.354,2.8,5.9,.469,.496,2.4,3.1,.767,0.8,2.2,3.0,5.1,1.0,0.2,2.7,2.7,12.7
Matisse Thybulle,27,SG,15,5,20.8,2.8,5.9,.477,1.4,3.2,.438,1.4,2.7,.525,.597,0.5,1.0,.467,0.9,2.5,3.5,1.9,2.2,0.6,0.9,0.9,7.5
Donovan Clingan,20,C,67,37,19.8,2.7,5.0,.539,0.2,0.7,.286,2.5,4.3,.582,.560,0.9,1.6,.596,3.2,4.6,7.9,1.1,0.5,1.6,1.1,2.8,6.5
Robert Williams,27,C,20,3,17.6,2.5,3.9,.641,0.1,0.2,.333,2.5,3.8,.653,.647,0.8,0.9,.882,1.8,4.2,5.9,1.1,0.7,1.7,0.9,1.6,5.8
Dalano Banton,25,PG,67,7,16.7,3.0,7.6,.391,1.1,3.3,.324,1.9,4.3,.442,.462,1.4,1.9,.728,0.4,1.6,2.0,2.4,0.6,0.5,1.3,0.9,8.3
Kris Murray,24,SF,69,6,15.1,1.7,4.0,.419,0.4,1.7,.225,1.3,2.3,.566,.468,0.4,0.8,.456,1.1,1.5,2.6,1.0,0.5,0.2,0.6,1.0,4.2
Jabari Walker,22,SF,60,1,12.5,2.0,3.8,.515,0.5,1.2,.389,1.5,2.6,.573,.576,0.8,1.2,.690,1.0,2.5,3.5,0.6,0.6,0.1,0.6,1.5,5.2
Sidy Cissoko,20,SF,5,0,12.0,0.8,2.4,.333,0.0,1.2,.000,0.8,1.2,.667,.333,0.4,0.6,.667,1.0,1.2,2.2,1.8,0.2,0.2,1.8,0.8,2.0
Duop Reath,28,C,46,0,10.2,1.5,3.6,.422,0.7,2.3,.321,0.8,1.3,.600,.524,0.4,0.5,.909,1.0,1.0,2.0,0.6,0.3,0.3,0.3,0.9,4.2
Taze Moore,26,SG,2,0,10.0,1.0,5.0,.200,0.5,2.0,.250,0.5,3.0,.167,.250,0.5,1.0,.500,2.0,2.0,4.0,0.5,1.0,0.0,1.0,0.0,3.0
Rayan Rupert,20,SG,52,0,8.8,1.1,2.7,.408,0.3,1.1,.271,0.8,1.6,.506,.465,0.4,0.6,.767,0.5,0.8,1.3,0.5,0.3,0.1,0.6,0.7,3.0
Justin Minaya,25,SF,19,0,5.3,0.4,1.1,.381,0.1,0.5,.200,0.3,0.6,.545,.429,0.0,0.1,.000,0.3,0.3,0.5,0.4,0.3,0.1,0.3,0.6,0.9
Bryce McGowens,22,SG,13,0,2.5,0.3,1.1,.286,0.0,0.3,.000,0.3,0.8,.400,.286,0.4,0.5,.833,0.2,0.1,0.2,0.2,0.1,0.0,0.3,0.2,1.0
