Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
470,1,2024-10-24,SAC,,MIN,"L, 115-117",*,37:09,6,14,.429,1,4,.250,5,10,.500,.464,2,2,1.000,0,2,2,11,1,0,2,3,15,13.7,2,De'Aaron Fox
471,2,2024-10-26,SAC,@,LAL,"L, 127-131",*,41:00,9,20,.450,3,10,.300,6,10,.600,.525,7,8,.875,0,5,5,10,2,0,6,3,28,20.5,-5,De'Aaron Fox
472,3,2024-10-28,SAC,,POR,"W, 111-98",*,35:20,9,20,.450,2,8,.250,7,12,.583,.500,4,4,1.000,1,5,6,3,2,0,3,4,24,15.3,13,De'Aaron Fox
473,4,2024-10-29,SAC,@,UTA,"W, 113-96",*,30:55,8,15,.533,1,2,.500,7,13,.538,.567,2,2,1.000,2,3,5,6,1,0,3,3,19,15.0,18,De'Aaron Fox
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,De'Aaron Fox
474,5,2024-11-01,SAC,@,ATL,"W, 123-115",*,37:08,11,16,.688,4,6,.667,7,10,.700,.813,5,6,.833,0,7,7,3,4,0,6,3,31,24.8,21,De'Aaron Fox
475,6,2024-11-02,SAC,@,TOR,"L, 128-131 (OT)",*,43:14,8,22,.364,0,11,.000,8,11,.727,.364,8,10,.800,3,3,6,1,5,0,5,2,24,13.9,-5,De'Aaron Fox
476,7,2024-11-04,SAC,@,MIA,"W, 111-110",*,37:03,11,21,.524,3,6,.500,8,15,.533,.595,3,4,.750,2,4,6,5,0,0,4,4,28,17.8,-9,De'Aaron Fox
477,8,2024-11-06,SAC,,TOR,"W, 122-107",*,33:46,5,17,.294,2,8,.250,3,9,.333,.353,9,10,.900,0,1,1,2,1,0,1,2,21,11.6,9,De'Aaron Fox
478,9,2024-11-08,SAC,,LAC,"L, 98-107",*,37:39,12,20,.600,2,5,.400,10,15,.667,.650,5,6,.833,1,2,3,0,1,0,7,4,31,15.1,-11,De'Aaron Fox
479,10,2024-11-10,SAC,@,PHO,"W, 127-118 (OT)",*,40:43,10,23,.435,0,6,.000,10,17,.588,.435,1,1,1.000,1,10,11,8,0,0,0,0,21,18.2,9,De'Aaron Fox
480,11,2024-11-11,SAC,@,SAS,"L, 96-116",*,36:07,9,19,.474,2,5,.400,7,14,.500,.526,4,4,1.000,1,5,6,3,1,0,1,4,24,17.0,-21,De'Aaron Fox
481,12,2024-11-13,SAC,,PHO,"W, 127-104",*,31:59,11,17,.647,1,2,.500,10,15,.667,.676,6,8,.750,1,5,6,10,2,1,3,3,29,28.4,19,De'Aaron Fox
482,13,2024-11-15,SAC,,MIN,"L, 126-130 (OT)",*,44:29,22,35,.629,6,10,.600,16,25,.640,.714,10,11,.909,2,1,3,7,3,1,6,3,60,47.0,1,De'Aaron Fox
483,14,2024-11-16,SAC,,UTA,"W, 121-117",*,35:44,16,30,.533,3,4,.750,13,26,.500,.583,14,19,.737,0,3,3,9,2,0,4,3,49,36.4,1,De'Aaron Fox
484,15,2024-11-18,SAC,,ATL,"L, 108-109",*,39:05,11,23,.478,3,6,.500,8,17,.471,.543,3,4,.750,0,5,5,7,1,0,4,2,28,18.5,2,De'Aaron Fox
485,16,2024-11-22,SAC,@,LAC,"L, 88-104",*,42:42,10,20,.500,1,7,.143,9,13,.692,.525,8,10,.800,2,5,7,7,1,0,3,0,29,24.0,-4,De'Aaron Fox
486,17,2024-11-24,SAC,,BRK,"L, 103-108",*,37:53,10,16,.625,3,4,.750,7,12,.583,.719,8,12,.667,0,1,1,5,2,0,2,1,31,25.6,5,De'Aaron Fox
487,18,2024-11-25,SAC,,OKC,"L, 109-130",*,39:41,5,15,.333,1,6,.167,4,9,.444,.367,3,4,.750,0,3,3,5,1,0,4,4,14,4.9,-22,De'Aaron Fox
488,19,2024-11-27,SAC,@,MIN,"W, 115-104",*,37:56,10,22,.455,3,8,.375,7,14,.500,.523,3,5,.600,0,8,8,8,2,0,5,1,26,18.4,6,De'Aaron Fox
489,20,2024-11-29,SAC,@,POR,"L, 106-115",*,36:18,8,18,.444,1,6,.167,7,12,.583,.472,5,7,.714,2,3,5,5,0,0,5,5,22,10.6,-9,De'Aaron Fox
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,De'Aaron Fox
490,21,2024-12-01,SAC,,SAS,"L, 125-127",*,36:40,9,23,.391,3,8,.375,6,15,.400,.457,2,2,1.000,3,3,6,9,2,1,2,1,23,20.1,-3,De'Aaron Fox
491,22,2024-12-03,SAC,,HOU,"W, 120-111",*,36:58,9,19,.474,4,6,.667,5,13,.385,.579,0,0,,3,3,6,7,3,1,3,3,22,19.7,17,De'Aaron Fox
492,23,2024-12-05,SAC,@,MEM,"L, 110-115",*,37:50,8,23,.348,0,7,.000,8,16,.500,.348,2,3,.667,2,4,6,3,6,0,4,2,18,10.6,-4,De'Aaron Fox
493,24,2024-12-06,SAC,@,SAS,"W, 140-113",*,32:35,9,17,.529,2,7,.286,7,10,.700,.588,2,2,1.000,0,4,4,8,0,1,2,3,22,18.0,8,De'Aaron Fox
494,25,2024-12-08,SAC,,UTA,"W, 141-97",*,30:33,9,16,.563,1,5,.200,8,11,.727,.594,2,4,.500,2,2,4,9,0,1,1,1,21,20.2,24,De'Aaron Fox
495,26,2024-12-12,SAC,@,NOP,"W, 111-109",*,37:26,7,20,.350,1,6,.167,6,14,.429,.375,3,4,.750,3,4,7,8,1,1,5,2,18,11.2,3,De'Aaron Fox
496,27,2024-12-16,SAC,,DEN,"L, 129-130",*,38:39,11,24,.458,2,7,.286,9,17,.529,.500,5,6,.833,0,5,5,7,0,1,3,4,29,18.7,-13,De'Aaron Fox
