Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
De'Aaron Fox,27,PG,45,45,37.0,9.2,19.6,.469,2.0,6.4,.322,7.2,13.3,.539,.521,4.5,5.5,.829,1.0,4.0,5.0,6.1,1.5,0.4,3.0,2.6,25.0
Zach LaVine,29,SG,32,32,36.6,8.2,16.0,.511,3.2,7.2,.446,5.0,8.8,.564,.611,2.8,3.2,.874,0.3,3.2,3.5,3.8,0.6,0.1,2.7,1.8,22.4
DeMar DeRozan,35,SF,77,77,35.9,8.1,17.0,.477,1.1,3.3,.328,7.0,13.7,.513,.509,4.9,5.7,.857,0.6,3.2,3.9,4.4,0.8,0.4,1.4,1.9,22.2
Domantas Sabonis,28,C,70,70,34.7,7.5,12.8,.590,0.9,2.2,.417,6.6,10.5,.627,.627,3.1,4.1,.754,3.8,10.1,13.9,6.0,0.7,0.4,2.9,3.3,19.1
Keegan Murray,24,PF,76,76,34.3,4.8,10.8,.444,2.0,5.9,.343,2.8,4.9,.566,.538,0.8,0.9,.833,1.9,4.8,6.7,1.4,0.8,0.9,0.8,2.4,12.4
Malik Monk,26,SG,65,45,31.6,6.3,14.4,.439,2.1,6.6,.325,4.2,7.9,.534,.513,2.4,2.7,.865,0.5,3.3,3.8,5.6,0.9,0.6,2.4,2.4,17.2
Keon Ellis,25,SG,80,28,24.4,2.8,5.8,.489,1.7,4.0,.433,1.1,1.8,.615,.639,0.9,1.1,.849,0.8,1.9,2.7,1.5,1.5,0.8,0.9,2.2,8.3
Kevin Huerter,26,SG,43,15,20.9,3.0,7.2,.413,1.4,4.8,.302,1.5,2.4,.629,.513,0.5,0.7,.714,0.4,2.3,2.8,1.7,0.8,0.4,0.9,1.6,7.9
Trey Lyles,29,PF,69,5,19.6,2.3,5.4,.420,1.2,3.4,.340,1.1,2.0,.559,.528,0.8,1.2,.700,1.2,3.4,4.6,1.2,0.6,0.3,0.6,1.2,6.5
Jake LaRavia,23,PF,19,0,19.3,2.2,5.1,.438,1.1,2.7,.385,1.2,2.3,.500,.542,0.6,1.0,.579,1.2,1.6,2.8,1.3,0.9,0.2,0.9,2.1,6.1
Jonas ValanÄiÅ«nas,32,C,32,9,16.9,3.6,6.4,.556,0.0,0.3,.100,3.5,6.1,.579,.559,1.6,1.8,.847,2.2,4.8,7.0,1.8,0.5,0.6,1.0,2.6,8.7
Jae Crowder,34,PF,9,2,11.4,0.8,2.4,.318,0.4,1.7,.267,0.3,0.8,.429,.409,0.6,0.7,.833,0.7,1.6,2.2,0.7,0.3,0.0,0.4,1.1,2.6
Devin Carter,22,PG,36,0,11.0,1.3,3.5,.370,0.5,1.7,.295,0.8,1.8,.439,.441,0.7,1.2,.591,0.5,1.6,2.1,1.1,0.6,0.1,0.5,1.1,3.8
Markelle Fultz,26,PG,21,0,8.8,1.3,3.2,.418,0.2,0.4,.500,1.1,2.8,.407,.448,0.0,0.0,1.000,0.3,0.7,1.0,1.3,0.5,0.1,0.7,0.6,2.9
Doug McDermott,33,SF,42,3,8.1,1.2,2.8,.427,1.0,2.4,.436,0.1,0.4,.375,.615,0.1,0.1,.600,0.1,0.5,0.5,0.2,0.1,0.0,0.1,0.7,3.5
Terence Davis,27,SG,1,0,8.0,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Isaac Jones,24,PF,40,0,7.6,1.4,2.1,.651,0.1,0.2,.375,1.3,1.9,.680,.669,0.6,0.9,.639,0.6,0.9,1.4,0.3,0.1,0.3,0.4,0.8,3.4
Alex Len,31,C,36,3,7.2,0.6,1.1,.537,0.0,0.2,.167,0.6,1.0,.600,.549,0.2,0.4,.538,0.7,1.1,1.8,0.8,0.2,0.5,0.3,1.0,1.4
Jordan McLaughlin,28,PG,28,0,6.8,0.6,1.6,.364,0.4,0.9,.385,0.2,0.6,.333,.477,0.4,0.6,.688,0.1,0.6,0.8,0.9,0.4,0.0,0.4,0.5,1.9
Orlando Robinson,24,C,9,0,6.3,0.8,1.9,.412,0.1,0.6,.200,0.7,1.3,.500,.441,0.4,0.8,.571,0.3,1.2,1.6,1.0,0.3,0.1,0.4,0.7,2.1
Colby Jones,22,SG,24,0,5.4,0.5,1.1,.423,0.2,0.4,.400,0.3,0.7,.438,.500,0.0,0.0,,0.3,0.6,1.0,0.3,0.3,0.3,0.3,0.5,1.1
Mason Jones,26,SG,10,0,4.5,0.9,1.8,.500,0.1,0.8,.125,0.8,1.0,.800,.528,0.4,0.5,.800,0.2,0.7,0.9,1.1,0.0,0.1,0.1,0.3,2.3
Isaiah Crawford,23,SF,15,0,3.1,0.3,0.7,.455,0.1,0.3,.200,0.3,0.4,.667,.500,0.1,0.3,.500,0.1,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.9
Skal LabissiÃ¨re,28,PF,4,0,3.0,0.5,1.0,.500,0.3,0.3,1.000,0.3,0.8,.333,.625,0.0,0.0,,0.3,0.5,0.8,0.3,0.0,0.0,0.0,0.3,1.3
Terry Taylor,25,PF,3,0,2.0,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.3,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0
