Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Scottie Barnes,23,PF,65,65,32.8,7.3,16.4,.446,1.2,4.3,.271,6.1,12.0,.508,.482,3.5,4.6,.755,1.7,6.0,7.7,5.8,1.4,1.0,2.8,1.7,19.3
RJ Barrett,24,SF,58,58,32.2,7.9,16.9,.468,1.8,5.3,.350,6.1,11.7,.522,.523,3.4,5.4,.630,1.1,5.3,6.3,5.4,0.8,0.3,2.8,2.4,21.1
Jakob Poeltl,29,C,57,56,29.6,6.4,10.2,.627,0.0,0.1,.333,6.4,10.1,.628,.628,1.7,2.5,.674,3.3,6.3,9.6,2.8,1.2,1.2,1.9,3.1,14.5
Gradey Dick,21,SG,54,54,29.4,4.9,12.0,.410,2.1,6.0,.350,2.8,5.9,.470,.498,2.5,2.9,.858,0.8,2.8,3.6,1.8,0.9,0.2,1.5,2.2,14.4
Immanuel Quickley,25,PG,33,33,27.8,5.6,13.3,.420,2.6,6.8,.378,3.0,6.5,.465,.517,3.4,3.9,.867,0.5,3.1,3.5,5.8,0.7,0.1,1.8,1.8,17.1
Ochai Agbaji,24,SG,64,45,27.2,4.2,8.3,.498,1.6,4.0,.399,2.6,4.4,.587,.593,0.5,0.8,.708,1.0,2.8,3.8,1.5,0.9,0.5,0.8,2.0,10.4
Colin Castleton,24,C,11,4,26.2,2.9,5.8,.500,0.2,0.7,.250,2.7,5.1,.536,.516,1.2,1.6,.722,3.1,3.8,6.9,1.6,0.5,0.7,1.9,2.9,7.2
Davion Mitchell,26,PG,44,22,24.5,2.4,5.5,.434,1.0,2.7,.359,1.5,2.9,.504,.520,0.6,0.8,.676,0.4,1.6,1.9,4.6,0.7,0.2,1.8,2.6,6.3
Jared Rhoden,25,SG,10,2,21.5,4.0,7.9,.506,1.2,3.7,.324,2.8,4.2,.667,.582,2.2,2.5,.880,1.2,2.6,3.8,1.4,0.9,0.2,0.8,1.9,11.4
Ja'Kobe Walter,20,SG,52,18,21.2,3.1,7.6,.405,1.3,3.6,.349,1.8,4.0,.454,.487,1.3,1.6,.795,1.1,1.9,3.1,1.6,0.8,0.2,1.0,1.8,8.6
Jonathan Mogbo,23,PF,63,18,20.4,2.5,5.7,.438,0.3,1.1,.243,2.2,4.5,.486,.462,1.0,1.3,.732,1.7,3.2,4.9,2.3,0.9,0.5,1.1,2.2,6.2
Orlando Robinson,24,C,35,8,20.4,3.1,7.0,.447,0.5,1.3,.340,2.7,5.6,.472,.480,1.4,1.8,.794,2.5,3.4,5.9,1.9,0.4,0.4,1.3,2.7,8.1
Bruce Brown,28,PG,18,0,19.6,3.2,7.3,.435,0.6,2.0,.306,2.6,5.3,.484,.477,1.4,1.6,.897,0.9,2.8,3.8,1.6,0.9,0.2,1.1,1.4,8.4
Jamal Shead,22,PG,75,11,19.6,2.7,6.7,.405,1.0,3.0,.323,1.8,3.7,.470,.476,0.7,0.9,.768,0.4,1.1,1.5,4.2,0.8,0.1,1.6,2.1,7.1
Cole Swider,25,SF,8,0,19.5,2.8,7.3,.379,1.9,5.3,.357,0.9,2.0,.438,.509,0.0,0.1,.000,0.6,2.5,3.1,0.3,0.5,0.3,0.5,1.4,7.4
A.J. Lawson,24,SG,26,2,18.7,3.1,7.3,.421,1.3,3.9,.327,1.8,3.4,.528,.508,1.7,2.4,.683,0.8,2.5,3.3,1.2,0.5,0.2,0.6,1.7,9.1
Jamison Battle,23,SF,59,10,17.7,2.5,5.9,.429,1.8,4.4,.405,0.7,1.5,.500,.581,0.3,0.3,.889,0.6,2.1,2.7,0.9,0.3,0.2,0.5,1.6,7.1
Chris Boucher,32,PF,50,0,17.2,3.6,7.4,.492,1.4,3.9,.363,2.2,3.5,.633,.586,1.4,1.7,.782,1.4,3.1,4.5,0.7,0.5,0.5,0.6,1.4,10.0
Kelly Olynyk,33,C,24,2,16.0,2.5,4.9,.500,0.8,1.8,.442,1.7,3.1,.533,.581,1.4,1.8,.791,1.0,2.7,3.7,2.3,0.7,0.3,1.5,2.5,7.1
Bruno Fernando,26,C,17,2,8.6,1.5,2.9,.531,0.0,0.0,,1.5,2.9,.531,.531,0.4,0.5,.750,1.2,1.8,3.0,1.1,0.2,0.5,0.8,1.6,3.4
D.J. Carton,24,SG,4,0,8.3,0.3,1.8,.143,0.0,0.8,.000,0.3,1.0,.250,.143,0.3,0.3,1.000,0.0,1.0,1.0,0.8,0.5,0.0,1.0,0.3,0.8
Garrett Temple,38,SG,28,0,8.1,0.6,2.1,.300,0.2,1.0,.214,0.4,1.1,.375,.350,0.4,0.4,.917,0.3,0.7,1.0,1.1,0.6,0.1,0.4,0.8,1.9
Ulrich Chomche,19,PF,7,0,4.6,0.3,0.7,.400,0.0,0.0,,0.3,0.7,.400,.400,0.1,0.3,.500,0.6,0.6,1.1,0.3,0.0,0.1,0.3,0.7,0.7
