Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Keyonte George,21,PG,67,35,31.5,5.4,13.7,.391,2.6,7.6,.343,2.8,6.1,.449,.485,3.5,4.3,.818,0.4,3.4,3.8,5.6,0.7,0.1,2.7,1.7,16.8
Lauri Markkanen,27,PF,47,47,31.4,6.3,14.9,.423,2.9,8.5,.346,3.4,6.4,.525,.521,3.4,3.9,.876,1.5,4.4,5.9,1.5,0.7,0.4,1.4,1.7,19.0
John Collins,27,PF,40,31,30.5,7.0,13.3,.527,1.5,3.7,.399,5.5,9.6,.577,.583,3.5,4.1,.848,2.2,6.0,8.2,2.0,1.0,1.0,2.6,2.9,19.0
Walker Kessler,23,C,58,58,30.0,4.8,7.2,.663,0.1,0.6,.176,4.7,6.6,.706,.671,1.4,2.6,.520,4.6,7.6,12.2,1.7,0.6,2.4,1.5,2.2,11.1
Collin Sexton,26,SG,63,61,27.9,6.6,13.8,.480,1.7,4.3,.406,4.9,9.5,.513,.543,3.4,4.0,.865,1.0,1.8,2.7,4.2,0.7,0.1,2.5,2.3,18.4
Jordan Clarkson,32,SG,37,9,26.0,5.4,13.3,.408,2.3,6.3,.362,3.2,7.1,.448,.493,3.1,3.9,.797,0.7,2.5,3.2,3.7,0.8,0.2,2.3,1.4,16.2
Isaiah Collier,20,PG,71,46,25.9,3.3,7.8,.422,0.6,2.4,.249,2.7,5.4,.497,.459,1.5,2.2,.682,0.5,2.9,3.3,6.3,0.9,0.2,2.9,2.1,8.7
Taylor Hendricks,21,PF,3,3,25.0,1.3,6.0,.222,1.0,4.0,.250,0.3,2.0,.167,.306,1.0,1.3,.750,1.7,3.3,5.0,0.7,1.7,1.3,0.7,2.7,4.7
KJ Martin,24,SF,19,9,22.7,2.6,5.4,.490,0.4,1.9,.189,2.3,3.4,.662,.525,0.7,0.9,.722,0.5,2.3,2.8,1.5,0.3,0.3,0.6,2.1,6.3
Cody Williams,20,SG,50,21,21.2,1.7,5.1,.323,0.7,2.7,.259,1.0,2.4,.393,.391,0.6,0.8,.725,0.5,1.7,2.3,1.2,0.5,0.3,0.9,1.9,4.6
Kyle Filipowski,21,C,72,27,21.1,3.6,7.2,.502,1.1,3.1,.350,2.5,4.1,.614,.576,1.3,2.0,.650,1.6,4.6,6.1,1.9,0.7,0.3,1.4,2.4,9.6
Brice Sensabaugh,21,SF,71,15,20.2,3.9,8.4,.459,2.2,5.2,.422,1.7,3.2,.520,.590,0.9,1.0,.890,0.6,2.4,3.0,1.5,0.6,0.1,1.5,1.6,10.9
Svi Mykhailiuk,27,SF,38,13,20.0,3.1,7.9,.391,1.8,5.3,.345,1.3,2.6,.485,.507,0.7,0.9,.800,0.6,1.8,2.4,2.0,0.5,0.2,1.4,1.1,8.8
Johnny Juzang,23,SG,64,18,19.8,3.2,7.4,.429,1.8,4.9,.376,1.3,2.5,.534,.554,0.7,0.8,.849,0.7,2.2,2.9,1.1,0.6,0.1,0.6,2.0,8.9
Micah Potter,26,C,38,10,18.6,1.5,3.6,.422,0.8,2.6,.316,0.7,1.0,.703,.537,0.4,0.5,.850,1.1,3.2,4.3,0.8,0.4,0.4,0.8,1.3,4.3
Oscar Tshiebwe,25,C,14,1,18.2,3.0,5.0,.600,0.0,0.0,,3.0,5.0,.600,.600,1.6,2.2,.742,3.3,5.4,8.7,0.6,0.9,0.1,0.7,1.7,7.6
Drew Eubanks,27,C,37,4,15.4,2.4,3.9,.607,0.1,0.1,.600,2.3,3.8,.607,.617,1.0,1.5,.632,1.1,3.5,4.5,1.2,0.3,0.9,0.8,1.2,5.8
Patty Mills,36,PG,17,0,15.3,1.5,4.5,.342,1.0,3.4,.298,0.5,1.1,.474,.454,0.3,0.3,1.000,0.2,1.1,1.2,1.2,0.7,0.2,0.9,0.7,4.4
Elijah Harkless,24,SG,10,0,13.8,1.1,3.5,.314,0.7,2.5,.280,0.4,1.0,.400,.414,0.3,0.6,.500,0.9,1.2,2.1,0.8,1.0,0.1,0.3,1.8,3.2
Jaden Springer,22,PG,17,2,13.2,1.4,3.3,.411,0.4,1.7,.207,1.0,1.6,.630,.464,0.7,1.0,.706,0.8,1.2,2.0,1.4,0.7,0.2,0.7,1.5,3.8
