Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
64,1,2024-10-24,WAS,,BOS,"L, 102-122",*,29:50,1,2,.500,0,0,,1,2,.500,.500,6,8,.750,1,5,6,6,1,0,3,0,8,10.6,-19,Bilal Coulibaly
65,2,2024-10-26,WAS,,CLE,"L, 116-135",*,35:10,9,16,.563,4,9,.444,5,7,.714,.688,1,1,1.000,3,3,6,1,0,0,3,2,23,15.3,-15,Bilal Coulibaly
66,3,2024-10-28,WAS,@,ATL,"W, 121-119",*,36:49,5,12,.417,1,5,.200,4,7,.571,.458,6,7,.857,0,2,2,3,2,0,2,4,17,11.3,4,Bilal Coulibaly
67,4,2024-10-30,WAS,,ATL,"W, 133-120",*,34:32,11,14,.786,3,5,.600,8,9,.889,.893,2,2,1.000,4,5,9,1,3,1,2,4,27,26.7,23,Bilal Coulibaly
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Bilal Coulibaly
68,5,2024-11-02,WAS,,MIA,"L, 98-118",*,33:28,8,12,.667,2,2,1.000,6,10,.600,.750,4,6,.667,3,5,8,2,0,0,0,4,22,19.4,-22,Bilal Coulibaly
69,6,2024-11-04,WAS,,GSW,"L, 112-125",*,39:13,3,11,.273,1,4,.250,2,7,.286,.318,2,2,1.000,0,4,4,2,0,0,3,2,9,1.3,-6,Bilal Coulibaly
70,7,2024-11-08,WAS,@,MEM,"L, 104-128",*,31:20,4,9,.444,0,3,.000,4,6,.667,.444,2,2,1.000,1,2,3,3,2,2,4,4,10,6.5,-14,Bilal Coulibaly
71,8,2024-11-10,WAS,@,ORL,"L, 94-121",*,36:53,9,11,.818,1,3,.333,8,8,1.000,.864,1,1,1.000,3,3,6,6,1,3,3,3,20,22.0,-24,Bilal Coulibaly
72,9,2024-11-11,WAS,@,HOU,"L, 92-107",*,35:29,5,9,.556,0,1,.000,5,8,.625,.556,1,2,.500,2,2,4,0,1,1,2,0,11,8.0,-23,Bilal Coulibaly
73,10,2024-11-13,WAS,@,SAS,"L, 130-139",*,37:56,2,5,.400,0,0,,2,5,.400,.400,2,4,.500,1,7,8,3,0,1,0,1,6,7.7,-10,Bilal Coulibaly
74,11,2024-11-15,WAS,@,ATL,"L, 117-129",*,38:16,4,11,.364,0,1,.000,4,10,.400,.364,1,2,.500,4,5,9,4,2,0,2,4,9,8.0,-10,Bilal Coulibaly
75,12,2024-11-17,WAS,,DET,"L, 104-124",*,26:05,6,9,.667,1,2,.500,5,7,.714,.722,2,3,.667,1,3,4,0,3,0,2,2,15,12.5,-17,Bilal Coulibaly
,13,2024-11-18,WAS,@,NYK,"L, 106-134",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Bilal Coulibaly
76,14,2024-11-22,WAS,,BOS,"L, 96-108",*,40:01,2,9,.222,1,6,.167,1,3,.333,.278,1,2,.500,0,7,7,3,2,1,2,5,6,3.0,-24,Bilal Coulibaly
77,15,2024-11-24,WAS,@,IND,"L, 103-115",*,38:17,4,9,.444,2,5,.400,2,4,.500,.556,7,8,.875,2,4,6,4,1,2,1,2,17,17.9,-11,Bilal Coulibaly
78,16,2024-11-26,WAS,,CHI,"L, 108-127",*,36:52,3,11,.273,0,3,.000,3,8,.375,.273,2,3,.667,1,2,3,5,1,0,1,1,8,5.5,-23,Bilal Coulibaly
79,17,2024-11-27,WAS,,LAC,"L, 96-121",*,30:49,1,6,.167,1,4,.250,0,2,.000,.250,0,0,,0,4,4,1,1,0,2,0,3,0.1,-43,Bilal Coulibaly
80,18,2024-11-30,WAS,@,MIL,"L, 114-124",*,35:52,2,8,.250,0,2,.000,2,6,.333,.250,0,0,,0,2,2,4,2,0,0,3,4,3.4,-5,Bilal Coulibaly
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Bilal Coulibaly
81,19,2024-12-03,WAS,@,CLE,"L, 87-118",*,31:07,1,7,.143,0,1,.000,1,6,.167,.143,4,5,.800,2,5,7,4,2,0,1,4,6,6.2,-23,Bilal Coulibaly
82,20,2024-12-05,WAS,,DAL,"L, 101-137",*,29:17,0,10,.000,0,5,.000,0,5,.000,.000,4,4,1.000,0,4,4,4,3,0,4,3,4,-1.2,-18,Bilal Coulibaly
83,21,2024-12-07,WAS,,DEN,"W, 122-113",*,40:20,2,9,.222,0,3,.000,2,6,.333,.222,2,2,1.000,4,2,6,5,4,3,0,1,6,13.1,8,Bilal Coulibaly
84,22,2024-12-08,WAS,,MEM,"L, 112-140",*,28:15,6,13,.462,1,4,.250,5,9,.556,.500,4,5,.800,1,4,5,4,1,1,3,5,17,11.3,-22,Bilal Coulibaly
85,23,2024-12-13,WAS,@,CLE,"L, 105-115",*,39:48,10,18,.556,5,8,.625,5,10,.500,.694,2,2,1.000,0,6,6,5,0,2,3,1,27,21.7,-8,Bilal Coulibaly
86,24,2024-12-15,WAS,,BOS,"L, 98-112",*,36:56,8,20,.400,3,8,.375,5,12,.417,.475,0,0,,1,4,5,6,1,0,4,4,19,9.7,-3,Bilal Coulibaly
87,25,2024-12-19,WAS,,CHO,"W, 123-114",*,34:49,5,13,.385,2,7,.286,3,6,.500,.462,2,2,1.000,1,6,7,5,2,1,3,3,14,11.4,-1,Bilal Coulibaly
88,26,2024-12-21,WAS,@,MIL,"L, 101-112",*,34:38,7,14,.500,1,5,.200,6,9,.667,.536,5,7,.714,2,10,12,5,3,1,3,1,20,20.4,-4,Bilal Coulibaly
,27,2024-12-23,WAS,@,OKC,"L, 105-123",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Bilal Coulibaly
89,28,2024-12-26,WAS,,CHO,"W, 113-110",*,31:19,6,16,.375,2,7,.286,4,9,.444,.438,6,8,.750,0,6,6,5,0,0,1,2,20,13.9,4,Bilal Coulibaly
90,29,2024-12-28,WAS,,NYK,"L, 132-136 (OT)",*,36:47,8,17,.471,2,4,.500,6,13,.462,.529,0,1,.000,1,5,6,6,2,1,2,5,18,14.0,0,Bilal Coulibaly
91,30,2024-12-30,WAS,,NYK,"L, 106-126",*,31:13,1,10,.100,0,4,.000,1,6,.167,.100,4,4,1.000,0,3,3,6,0,3,2,1,6,4.2,-9,Bilal Coulibaly
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Bilal Coulibaly
92,31,2025-01-01,WAS,,CHI,"W, 125-107",*,08:34,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,0,1,2,1,0,1,0,0,1.4,0,Bilal Coulibaly
,32,2025-01-03,WAS,@,NOP,"L, 120-132",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Bilal Coulibaly
,33,2025-01-05,WAS,,NOP,"L, 98-110",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Bilal Coulibaly
