Position,Team,PTS,FG%,FT%,3PM,REB,AST,STL,BLK,TO
SF,BOS,20.213,43.113,76.156,2.767,7.876,3.714,1.317,0.763,1.946
C,ORL,19.75,54.3133,72.328,0.81,13.7122,3.43,1.318,1.8127,3.06
SF,ORL,19.11,44.124,74.949,2.549,7.568,3.817,1.682,0.634,2.5123
PF,BOS,20.111,44.743,72.533,2.239,10.7109,3.56,1.28,0.989,2.1113
PF,OKC,20.618,44.852,73.738,2.764,10.4102,3.67,1.29,1.11,2.78
C,OKC,20.414,51.412,68.14,1.012,15.3139,4.248,1.13,1.913,3.31
SF,MIA,20.72,44.641,77.967,2.987,7.566,3.928,1.433,0.867,2.174
SF,OKC,21.742,43.011,79.685,3.1107,7.981,3.818,1.558,0.871,3.115
SG,HOU,22.362,43.01,78.575,3.093,6.538,4.787,1.546,0.526,2.762
SF,MIN,20.212,43.114,76.86,2.876,7.671,3.716,1.7106,0.752,2.496
SF,IND,21.13,45.974,76.759,2.768,7.98,4.251,1.429,0.866,2.447
PF,HOU,20.924,46.788,70.414,1.932,10.097,3.55,1.435,1.5117,2.9106
SG,OKC,21.738,39.61,82.1124,3.094,7.361,5.1101,1.439,0.869,3.59
SF,NY,21.534,45.667,79.583,2.874,7.877,4.035,1.27,0.868,2.294
SG,ORL,21.947,44.742,80.092,2.872,6.952,4.57,1.547,0.527,3.092
PG,OKC,22.772,43.415,81.8118,3.111,6.117,7.5127,1.443,0.524,3.616
C,NY,19.33,56.4141,69.27,1.011,13.5121,3.821,1.319,1.9128,2.791
PF,NY,20.616,48.1107,76.055,2.237,10.098,3.711,1.21,1.3104,2.6111
SG,DET,23.084,42.88,80.9104,3.614,6.33,4.246,1.67,0.631,2.84
PF,ORL,19.98,50.9119,70.213,2.033,10.7108,3.01,1.555,1.4111,2.8107
SF,MIL,20.515,44.332,80.194,2.875,8.789,4.037,1.561,0.76,1.995
PG,GS,21.741,43.822,81.4114,2.66,6.116,7.5126,1.71,0.873,3.47
SF,HOU,20.821,44.434,80.195,2.655,7.362,3.715,1.556,1.094,2.3129
SG,BOS,21.949,43.72,80.6101,3.2117,7.156,4.996,1.553,0.529,2.357
C,BOS,19.99,53.4129,74.04,1.013,15.314,3.68,0.91,1.3105,2.4134
C,MIN,20.01,52.7126,73.637,0.82,14.3127,4.139,1.43,1.9131,2.982
C,IND,21.739,57.4146,71.522,0.96,15.7145,3.823,1.26,1.4114,2.786
C,LAL,19.87,56.5142,69.911,0.97,14.9135,4.359,1.323,1.8125,2.387
PF,GS,21.743,45.971,77.366,2.658,9.993,3.713,1.316,1.3106,2.5132
PG,MIN,23.196,43.516,81.2106,2.87,6.225,7.7129,2.0137,0.515,3.34
SG,CLE,22.879,42.76,81.9122,3.2118,6.536,5.098,1.554,0.63,2.558
PF,MIL,22.053,46.889,75.853,2.877,10.096,3.42,1.436,1.199,2.397
SG,MIA,22.259,44.227,79.279,3.1108,7.157,5.097,1.685,0.633,2.76
