Team,Player,Game,Date,Home,Opp,Overtime,Win_Loss,Team_PTS,Opp_PTS,Starter,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Atlanta,Trae Young,1,2024-10-23,1,BRK,0,W,120,116,1,37,7,16,0.438,2,6,0.333,5,10,0.5,0.5,14,16,0.875,1,4,5,12,1,1,3,1,30,29.4,12.0
Atlanta,Trae Young,2,2024-10-25,1,CHO,0,W,125,120,1,41,11,24,0.458,5,14,0.357,6,10,0.6,0.563,11,13,0.846,3,5,8,10,4,0,7,1,38,32.0,9.0
Atlanta,Trae Young,3,2024-10-27,0,OKC,0,L,104,128,1,37,7,14,0.5,2,7,0.286,5,7,0.714,0.571,8,8,1.0,0,1,1,8,0,0,10,3,24,11.7,-18.0
Atlanta,Trae Young,4,2024-10-28,1,WAS,0,L,119,121,1,36,2,15,0.133,2,10,0.2,0,5,0.0,0.2,8,9,0.889,0,8,8,13,1,1,6,3,14,9.9,-7.0
Atlanta,Trae Young,5,2024-10-30,0,WAS,0,L,120,133,1,40,12,28,0.429,4,13,0.308,8,15,0.533,0.5,7,7,1.0,2,2,4,15,2,0,3,2,35,30.9,-16.0
Atlanta,Trae Young,6,2024-11-01,1,SAC,0,L,115,123,1,42,8,21,0.381,3,9,0.333,5,12,0.417,0.452,6,7,0.857,1,4,5,12,0,0,5,2,25,17.6,-11.0
Atlanta,Trae Young,7,2024-11-03,0,NOP,0,W,126,111,1,31,8,15,0.533,5,10,0.5,3,5,0.6,0.7,2,2,1.0,1,3,4,12,1,0,2,1,23,24.3,29.0
Atlanta,Trae Young,8,2024-11-04,1,BOS,0,L,93,123,1,23,1,10,0.1,0,6,0.0,1,4,0.25,0.1,0,0,0.0,0,0,0,6,1,0,3,2,2,-3.2,-28.0
Atlanta,Trae Young,9,2024-11-06,1,NYK,0,W,121,116,1,35,7,21,0.333,3,9,0.333,4,12,0.333,0.405,6,8,0.75,2,4,6,10,2,0,2,2,23,19.1,6.0
Atlanta,Trae Young,10,2024-11-08,0,DET,0,L,121,122,1,41,11,25,0.44,6,12,0.5,5,13,0.385,0.56,7,8,0.875,0,2,2,13,2,0,3,2,35,29.4,14.0
Atlanta,Trae Young,11,2024-11-09,1,CHI,0,L,113,125,1,38,6,16,0.375,2,6,0.333,4,10,0.4,0.438,0,0,0.0,1,2,3,16,0,0,6,2,14,10.9,-6.0
Atlanta,Trae Young,13,2024-11-15,1,WAS,0,W,129,117,1,33,5,18,0.278,4,9,0.444,1,9,0.111,0.389,4,4,1.0,0,2,2,9,0,0,6,3,18,7.1,2.0
Atlanta,Trae Young,14,2024-11-17,0,POR,0,L,110,114,1,38,8,16,0.5,5,10,0.5,3,6,0.5,0.656,8,9,0.889,1,4,5,8,0,0,6,2,29,21.3,-4.0
Atlanta,Trae Young,15,2024-11-18,0,SAC,0,W,109,108,1,36,1,7,0.143,0,2,0.0,1,5,0.2,0.143,5,5,1.0,0,3,3,19,2,0,5,1,7,13.3,15.0
Atlanta,Trae Young,16,2024-11-20,0,GSW,0,L,97,120,1,30,4,12,0.333,1,6,0.167,3,6,0.5,0.375,3,4,0.75,0,3,3,11,2,0,3,2,12,11.6,-19.0
Atlanta,Trae Young,17,2024-11-22,0,CHI,0,L,122,136,1,38,8,18,0.444,1,8,0.125,7,10,0.7,0.472,8,8,1.0,0,1,1,13,4,1,4,2,25,24.9,-9.0
Atlanta,Trae Young,18,2024-11-25,1,DAL,0,L,119,129,1,35,5,12,0.417,2,4,0.5,3,8,0.375,0.5,6,7,0.857,1,1,2,16,3,0,3,2,18,22.6,-1.0
